verse	content
001	Sa amo man to nga mga inadlaw tama ruman ka duro nga mga tawo ang nagtiriripon.
001	Kang nawad-an run kang pagkaun ang mga tawo, gintawag ni Jesus ang anang mga disipulo nga magparapit kana kag nagkuon,
002	Nangir-o gid takun sa mga tawo nga dya tungud hay tatlo run ka adlaw nga nagsagad sanda ka imaw kanakun, kag kar-on wara run sanda ti makaun.
003	Ti kon pauliun ko sanda nga wara ti sulud ang andang busong, magakaralipung sanda sa dalanun tungud hay ang iba kananda ka dya rayu pa ang andang ginhalinan.
004	Nagsabat ang anang mga disipulo, Sa diin bay kita mabuul kang pagkaun rugya sa kayanakan para ipakaun sa mga tawo nga dya?
005	Namangkot si Jesus kananda, Pira ka bilog ang inyo tinapay dyan?
006	Nagsabat nanda, Pito!
007	Ginsugo ni Jesus ang mga tawo nga magpurungko sa lupa, kag ginbuul na ang pito ka bilog nga tinapay.
007	Nagpasalamat tana sa Dios, dayon ginpamihak-pihak na dya kag gintugro sa anang mga disipulo para ipanagtag sa mga tawo.
007	Ginhimo man nanda dya.
008	May pirambilog man sanda nga mga magagmay nga isda.
008	Ginpasalamatan na man dya kag nagsugo nga ipanagtag dya sa mga tawo.
009	Nakakaun sanda tanan kag nagkarabusog.
009	Ginpanipon kang mga disipulo ang nabilin nga ginpamihak-pihak kag pito ka mga alat nga buta ang andang natipon.
010	Mga apat ka libo ka mga tawo ang nagkaun.
011	Pagkatapos kato, ginpapanaw ni Jesus ang mga tawo, kag lagi-lagi nagsakay tana sa baruto imaw kang anang mga disipulo kag mag-agto sa lugar nga ginatawag Dalmanuta.
012	May mga Fariseo nga nag-aragto kay Jesus kag nagpakigbais kana.
012	Gusto gid nanda nga tirawan si Jesus, gani nga nagpangayo sanda nga maghimo tana kang milagro sa pagpamatuod nga sa Dios tana maghalin.
013	Nagpanghayhay si Jesus kag nagkuon, Andut nga ang mga tawo sa kadya nga panag-on nagapangita kang milagro?
013	Sa pagkamatuod, sugidan ko kamo, indi gid pagpakitaan kang milagro ang henerasyon nga dya.
014	Ginbayaan sanda ni Jesus kag nagsakay sa baruto kag magtabok sa pihak kang linaw.
015	Kar-on, ang mga disipulo ni Jesus nalipat magdara kang tinapay kag sambilog lang ang dara nanda sa baruto.
016	Ginpaandaman sanda ni Jesus, Mag-andam gid kamo sa tapay kang mga Fariseo kag sa tapay ni Herodes.
017	Naghambalanay ang mga disipulo, Ginhambal na ria tungud hay wara kita ti dara nga tinapay!
018	Naman-an ni Jesus ang andang ginahambalan gani nga ginpamangkot na sanda, Andut nga ginahambalan ninyo nga wara kamo ti dara nga tinapay?
018	Wara pa gihapon haw kamo makamaan ukon makaintiende?
018	Kulang pa gihapon haw ang inyo paghangup?
019	May mga mata man kabay kamo, andut haw nga indi kamo makakita?
019	Kag may mga talinga man kabay kamo, ti andut haw nga indi kamo makabati?
019	Nalipat run kamo haw?
020	Kang ginpamihak-pihak ko ang lima ka bilog nga tinapay para sa lima ka libo, pira pa haw ka alat nga buta kang sobra nga ginpamihak-pihak nga pagkaun ang natipon ninyo?
021	Nagsabat sanda, Napulo'g darwa!
022	Kag kang ginpamihak-pihak ko ang pito ka bilog nga tinapay para sa apat ka libo, pira pa ka alat nga buta kang sobra nga ginpamihak-pihak nga pagkaun ang natipon?
023	Kuon nanda, Pito!
024	Gani ginpamangkot sanda ni Jesus, Ti, andut sa ano haw nga indi pa angud kamo makahangup?
025	Nagdungka sanday Jesus sa Betsaida.
025	May mga tawo nga nagdara kana kang sangka bulag kag nagpakitluoy sanda kana nga itandugun na ang bulag nga dya.
026	Gindapit ni Jesus ang bulag kag tuytoyan paggwa sa baryo.
026	Gindupraan na ang mga mata kang bulag kag gintungtongan na dya kang anang alima, kag ginpamangkot, Ti, may makita kaw run?
027	Naglantaw ang tawo kag magsabat, Huud, makita ko ang mga tawo pero daw pareho sanda kang mga kahoy nga nagaparanaw.
028	Ginbutang liwan ni Jesus ang anang alima sa mga mata kang bulag nga dya.
028	Kag nagmulalung gid tana ka mayad kag nagbalik ang anang panuruk kag makita na run gid ka athag ang tanan.
029	Ginpauli tana ni Jesus kag ginkun-an, Indi kaw run magbalik rugto sa baryo!
030	Nag-agto si Jesus kag ang anang mga disipulo sa mga kabaryohanan kang Cesarea Filipos.
030	Sa dalanun, ginpamangkot ni Jesus ang anang mga disipulo, Abi, sugidi ninyo ako, para sa mga tawo sin-o ako?
031	Nagsabat sanda, May mga nagakuon nga ikaw si Juan nga Manugbawtiso.
031	Ang iba ruman tana nagakuon nga ikaw si Elias.
031	Kag ang iba pa gid tana nagakuon nga isara ikaw sa mga propeta.
032	Ginpamangkot sanda ni Jesus, Para tana kaninyo, sin-o ako?
033	Nagsabat si Pedro, Ikaw amo ang Cristo!
034	Dayon ginmandoan sanda ni Jesus, Indi gid ninyo pagpanugid sa bisan kay sin-o ang nahanungud kanakun!
035	Dayon nagpanudlo si Jesus kananda nga ang Anak kang Tawo kinahanglan nga mag-agum kang duro nga mga pag-antos, pagasikwayun tana kang mga kamal-aman kag kang mga pangulo kang kaparian kag kang mga manunudlo kang Kasugoan.
035	Pagapatyun tana pero pagkatapos kang tatlo ka adlaw mabanhaw tana.
036	Maathag gid ang paghambal ni Jesus ka dya kananda.
036	Gani gindara tana ni Pedro sa uruunahan kag ginsabdung.
037	Pero nagbalikid si Jesus kag ginturuk na ang iba nga mga disipulo kag ginsabdung si Pedro, Parayu ikaw kanakun, Satanas!
037	Ang imong panghuna-huna bukun ti sa Dios maghalin kundi sa tawo!
038	Dayon, gintawag ni Jesus ang mga tawo imaw kang anang mga disipulo kag nagkuon, Ang bisan sin-o nga gusto magsunod kanakun kinahanglan nga indi na pagpasulabihun ang anang kaugalingun, kag magpas-an kang anang kros kag magsunod kanakun.
039	Tungud hay ang bisan sin-o nga nagatipig kang anang kabuhi, maduraan ka dya.
039	Pero ang bisan sin-o tana nga magdura kang anang kabuhi tungud kanakun kag sa Mayad nga Balita amo ang makaangkun kang kabuhi nga wara ti katapusan.
040	Tungud hay ano gid bala ang pulos kon maangkun kang tawo ang bilog nga kalibutan pero maduraan tana kang kabuhi?
041	Ano ang mabaylo kang tawo agud nga maangkun na liwan ang anang kabuhi?
041	Wara gid.
042	Gani, ang bisan sin-o nga magakahuya kanakun kag kang akun mga pulong sa mga tawo nga nagtalikod sa Dios kag malaot sa kadya nga panag-on, ikahuya man tana kang Anak kang Tawo sa anang pagbalik nga may himaya kang anang Amay imaw kang balaan nga mga anghel.
