verse	content
001	Nag-abot si Jesus kag ang anang mga disipulo sa tabok kang Linaw kang Galilea sa lugar kang mga Gerasanhun.
002	Pagkapanaog ni Jesus sa baruto, ginsug-alaw tana kang sangka tawo nga naghalin sa rulubngan.
002	Ang tawo nga dya nasab-an kang malaot nga ispirito.
003	Nagaistar tana ka dya sa rulubngan.
003	Wara run gid ti bisan sin-o nga makagapos kana bisan pa nga kadenahan.
004	Pira run ka beses nga ginagapos tana sa anang alima kag kahig, pero ginabugras na lang ang mga kadena kag ginapang-irintuk ang mga salsalun sa anang kahig.
004	Tama gid tana ka purus nga wara ti bisan sin-o nga makadaug kana.
005	Adlaw kag gabii, nagalagaw tana sa rulubngan kag sa kabukidan nga nagasagad ka tiyabaw, kag ginapilasan na ang anang lawas kang mga bato.
006	Kang makita na si Jesus sa marayu, nagdalagan tana kag magluhod sa atubang ni Jesus,
007	kag nagsinggit kang matunog, Jesus nga Anak kang Dios nga Labing Mataas, ano gid bala ang tuyo mo kanakun?
007	Nagapakitluoy ako kanimo sa ngaran kang Dios, indi ako pagpaantosa!
008	Ginkuon na dya tungud hay ginamandoan run tana ni Jesus, Malaot nga ispirito, gwa dyan sa tawo nga ria!
009	Ginpamangkot tana ni Jesus, Sin-o ngaran mo?
010	Nagsabat tana, Linibo, tungud hay raku kami!
011	Nagsige gid tana ka pakitluoy ka mayad kay Jesus nga indi na sanda pag-tabogon pagwa sa lugar nga ria.
012	Kar-on, may panung kang mga baboy rugto sa bakulod nga nagapanginaun.
013	Nagpakitluoy kay Jesus ang mga malaot nga ispirito, Paagtona kami sa mga baboy;
013	kananda mo run lang kami pasudlun.
014	Gintugotan sanda ni Jesus, kag naggurowa sanda sa tawo kag magsaraylo sa mga baboy.
014	Amo to kag ang bilog nga panung kang baboy nga mga darwa ka libo, nagharaguyon padulhog sa pil-as kag nagkarahulog sa linaw kag nagkaralumus.
015	Ang mga manugsagod tana kang baboy nagparalagyo kag ginpanugid ang natabo nga dya sa banwa kag sa kaumahan.
015	Gani nag-aragto ang mga tawo agud turukun kon ano gid ang natabo.
016	Kang mag-agto sanda kay Jesus, nakita nanda ang tawo nga nasab-an anay kang duro nga mga malaot nga ispirito.
016	Nagapungko dya nga may bayo run kag igsakto run ang paminsarun;
016	kag hinadlukan gid sanda.
017	Ang mga tawo tana nga nakasaksi kang hitabo nga to nagpanugid sa mga nag-arabot kon ano ang natabo sa tawo nga nasab-an anay kang malaot nga ispirito kag sa mga baboy.
018	Gani ginsige nanda ka pangabay si Jesus nga maghalin sa andang banwa.
019	Kang manugsakay run si Jesus sa baruto, ang tawo nga nasab-an anay kang malaot nga ispirito nagpangabay kana, Patawsa ako kanimo!
020	Pero wara tana gintugotan ni Jesus, kundi nga ginkun-an na dya, Uli lang to sa inyo kag isugid sa imong panimalay kag abyan kon paano ikaw ginbuligan kang Ginoo kag kon daw ano ang anang kaluoy kanimo.
021	Kag nagpanaw ang tawo kag ginpanugid na sa Decapolis ang nahanungud sa ginhimo ni Jesus kana.
021	Kag natingala gid ang tanan nga nakabati kana.
