verse	content
001	Sangka bes, nagbalik si Jesus sa sinagoga kag may tawo rugto nga kimay ang sambangi na nga alima.
002	May mga tawo rugto nga nagapangita gid kang paagi nga maakusar nanda si Jesus, gani ginapanilagan gid nanda tana kon aydun na ang tawo nga kimay ang alima sa Adlaw nga Inugpahuway.
003	Ginkun-an ni Jesus ang tawo nga kimay, Dali, parapit rugya sa unahan.
004	Dayon ginpamangkot ni Jesus ang mga tawo, Ano bala ang ginatugot kang atun Kasugoan nga himoon sa Adlaw nga Inugpahuway?
004	Ang magbulig bala ukon ang maghalit?
004	Ang magluwas bala kang kabuhi ukon ang magpatay?
005	Pero wara gid sanda maglimug.
006	Ginturuk ni Jesus nga may kaugut ang tanan nga mga tawo sa palibot pero nagkasubu man tana tungud kang andang pagkaawut ti ulo.
006	Dayon nagkuon tana sa tawo nga kimay, Untaya ang imong alima!
006	Gin-untay man kang tawo ang anang alima, kag nag-ayad dya.
007	Dayon nagharalin ang mga Fariseo sa sinagoga kag magpakigsapol lagi sa mga sumuronod ni Herodes, kag nagplano sanda kon paano nanda patyun si Jesus.
008	Kar-on, nag-agto si Jesus imaw kang anang mga disipulo sa Linaw kang Galilea.
008	Kag tama ka duro nga mga tawo ang nagsurunod kana.
008	Nagharalin sanda sa Galilea, sa Judea,
009	sa Jerusalem, sa Idumea, kag sa nasidlangan nga bahin kang Jordan, kag sa palibot kang Tiro kag Sidon.
009	Sanda tanan nag-aragto kay Jesus tungud hay nabatian nanda ang tanan nga anang mga ginapanghimo.
010	Tungud sa kadurohon kang mga tawo, nagsugo si Jesus sa anang mga disipulo nga mag-aman kang baruto para kana agud to nga indi tana pagdukdukan kang mga tawo.
011	Duro nga mga tawo ang anang ginpang-ayad gani nga ang mga masakitun nagapanagil-ut gid para nga makatandug kana.
012	Kada makita tana kang mga tawo nga nasab-an kang malaot nga ispirito, nagaharapa sanda ka dya sa anang atubang kag nagasinggit, Ikaw ang Anak kang Dios!
013	Ginmandoan sanda ni Jesus nga indi gid maghambal kon sin-o tana.
014	Dayon nagtukad si Jesus sa barabakulod kag gintawag na ang mga tawo nga anang gusto itawgun, kag nagparapit sanda kana.
015	Nagpili tana kang napulo'g darwa ka mga tawo kag gintawag na nga mga apostoles kag gintangduan na nga mag-imaw kana kag para sugoon nga magpangwali,
016	kag gintaw-an na man sanda kang awtoridad sa pagtabog kang mga demonyo.
017	Amo dya ang napulo'g darwa nga anang ginpili: si Simon nga ginhingaranan ni Jesus nga Pedro;
018	si Santiago kag ang anang bugto nga si Juan, nga mga kabataan ni Zebedeo Ginhingaranan man sanda ni Jesus nga Boanerges, nga kon sayudon, mga Bata kang daguub;
019	si Andres, si Felipe, si Bartolome, si Mateo, si Tomas, si Santiago nga bata ni Alfeo, si Tadeo, si Simon nga mapinalanggaun sa anang nasyon,
020	kag si Judas Iscariote nga amo ang nagluib kay Jesus.
021	Pagkatapos kato nag-uli si Jesus.
021	Kag tama ka duro ruman nga mga tawo ang nagtiripon kana nga bisan gani sanda kang anang mga disipulo wara run ti tion nga magkaun.
022	Kang mabatian kang anang panimalay nga ang mga tawo nagakuon, Nagaumang tana, gin-agtonan nanda tana agud ibul-un.
023	Kag ang mga manunudlo kang Kasugoan nga naghalin sa Jerusalem nagkuon, Nasab-an tana ni Beelzebul nga pangulo kang mga demonyo.
023	Kag amo dya ang nagatao kana kang gahum sa pagpanabog kang mga demonyo.
024	Gani gintawag sanda ni Jesus kag ginhambalan paagi sa mga paraanggidan, Ano bay ang pagtabog ni Satanas sa anang kaugalingun?
025	Pareho abi sa sangka ginharian, kon ang mga sinakpan na ka dya magbinahin-bahin, ang ginharian nga ria indi run magpadayon.
026	Amo man ria sa sangka panimalay, kon magbinahin-bahin man sanda ka dya, ang ria nga panimalay indi man magpadayon.
027	Gani kon kontrahun ni Satanas ang anang kaugalingun kag magbinahin-bahin ang anang mga sinakpan, ang anang ginharian indi magpadayon kundi nga maguba dya.
028	Wara man ti bisan sin-o nga makasulud sa balay kang sangka mapagrus nga tawo kag pamul-un ang pagkabutang na ka dya, kon indi na anay paggaposon ang tagbalay nga to.
028	Kag kon nagapos na run gani dya, sarang na run masaid ka pamuul ang tanan nga pagkabutang sa balay nga to.
029	Sugidan ko kamo, ang tawo sarang mapatawad sa bisan ano na nga sala, kag sa bisan ano nga pagpasipala nga anang mahambal.
030	Pero ang bisan sin-o nga magpasipala sa Balaan nga Ispirito indi gid pagpatawarun, tungud hay nakahimo tana kang sala nga indi mapatawad hasta san-o.
031	Ginhambal dya ni Jesus tungud hay may nagakuon nga ginagamhan tana kang malaot nga ispirito.
032	Kar-on, nag-abot ang nanay kag mga bugto nga laki ni Jesus.
032	Nagatindug sanda sa gwa kang balay kag ginpatawag nanda si Jesus.
033	Duro nga mga tawo ang nagapurungko sa palibot ni Jesus.
033	Nagkuon sanda kana, Rugyan sa gwa ang imong nanay kag mga bugto nga nagapangita kanimo.
034	Nagsabat si Jesus, Sin-o gid bala ang akun nanay kag mga bugto?
035	Dayon ginturuk na ang mga tawo nga nagapurungko sa anang palibot kag magkuon, Amo dya sanda ang akun nanay kag mga bugto.
036	Tungud hay ang bisan sin-o nga nagahimo kang kabubut-un kang Dios amo ang akun bugto nga laki, bugto nga bayi kag nanay.
