verse	content
001	Pagkatapos kang Adlaw nga Inugpahuway, nagbakal kang pahamot sanday Maria Magdalena, Maria nga nanay ni Santiago, kag si Salome agud ihaplas sa bangkay ni Jesus.
002	Aga-aga pa gid kang nahauna nga adlaw kang semana, pagbutlak kang adlaw, nag-agto sanda sa rulubngan.
003	Sa dalanun, nagapamangkotanay sanda kon sin-o ang magapaligid para kananda kang bato nga nagatakup sa gawang kang rulubngan.
004	Kang paglantaw nanda, nakita nanda nga napaligid run ang bato;
004	tama gid dya ka bahul.
005	Pagsulud nanda sa rulubngan may nakita sanda nga pamatan-un nga laki nga nagapungko sa tuo nayon nga nagasuksok kang bayo nga puti, kag hinadlukan gid sanda.
006	Nagkuon ang laki kananda, Indi kamo magkatingala!
006	Ginapangita ninyo si Jesus nga taga-Nazaret nga ginlansang sa kros;
006	nabanhaw run tana, wara tana rugya.
006	Turuka ninyo ang ginhamyangan kana.
007	Pero, panaw kamo kag isugid ninyo sa anang mga disipulo kag kay Pedro nga magauna si Jesus kaninyo sa Galilea.
007	Makita ninyo tana rugto pareho kang anang ginkuon kaninyo.
008	Gani naggwa ang mga bayi nga dya sa rulubngan kag nagparalagyo.
008	Nagakurudug sanda sa kahadluk kag natingala gid.
008	Wara gid sanda ti ginsugidan tungud hay hinadlukan gid sanda.
009	Pagkabanhaw ni Jesus, aga pa gid kang nahauna nga adlaw kang semana, nagpakita tana una kay Maria Magdalena nga nasab-an anay kang pito ka demonyo pero gintabog dya ni Jesus.
010	Nagpanaw si Maria kag ginsugid na ang anang nakita sa mga kaimaw anay ni Jesus;
010	nagapangasubu sanda kag nagaparanangisun.
011	Pero kang mabatian nanda nga buhi si Jesus kag nakita pa ni Maria, wara gid sanda magpati.
012	Pagkatapos ka dya, nagpakita man si Jesus sa lain nga dagway sa darwa ka mga sumuronod samtang nagapanaw sanda paagto sa uma.
013	Nagbalik sanda kag ginsugidan ang iba nanda nga mga kaimaw pero wara man sanda magpati kananda.
014	Kang urihi, nagpakita si Jesus sa napulo'g isara ka mga disipulo mismo samtang nagakaraun sanda.
014	Ginkaraan na sanda tungud nga wara sanda magpati kag tungud nga mga awut sanda ti ulo.
014	Tungud hay wara gid sanda magpati sa mga ginpanugid kang mga nakakita kana pagkatapos nga nabanhaw tana.
015	Nagkuon si Jesus kananda, Panaw kamo sa bug-os nga kalibutan kag iwali ang mayad nga balita sa tanan nga mga tawo.
016	Ang bisan sin-o nga magatuo kag magapabawtiso maluwas.
016	Pero ang bisan sin-o nga indi magtuo pagasintensyahan kang kamatayun.
017	Kag amo dya ang mga paratandaan nga makita sa mga tawo nga magatuo kanakun: paagi sa akun ngaran magapanabog sanda kang mga demonyo;
017	magahambal sanda sa nagkalain-lain nga linggwahe nga wara nanda maton-i;
018	magapurot sanda kang mga sawa ukon makainum kang hilo, pero indi sanda maiwan;
018	magatungtong sanda kang andang alima sa mga nagamarasakit kag magaarayad dya.
019	Pagkatapos nga nakapakighambal si Ginoong Jesus sa anang mga sumuronod, gindara tana palangit kag nagpungko sa tuo kang Dios.
020	Nagpanaw ang mga sumuronod kag nagpangwali sa bisan diin nga lugar.
020	Nagpanghikot ang Ginoo paagi kananda kag ginpamatud-an na ang andang ginapangwali paagi sa mga milagro nga nagakatabo.
