verse	content
001	Samtang nagapagwa si Jesus sa templo, ang isara sa anang mga disipulo nagkuon kana, Turuka bala Maestro, tama gid ka nami gid kang mga bato kag ka daragkul kang mga balay!
002	Nagsabat si Jesus kana, Nakita mo ang daragkul nga mga balay nga dya?
002	Wara gid ti bisan sangka bato nga mabilin nga nagasampaw sa isara; marumpag gid dya tanan.
003	Kang nagapungko si Jesus sa pagpanudlo rugto sa Bukid kang mga Olibo nga sa diin lantawun ang templo, nagparapit kana sanday Pedro, Santiago, Juan kag Andres kag nagpamangkot nga sandahanun lang,
004	Sugidi kami, san-o bala dya matabo kag ano bala ang mga paratandaan nga matuman run ang tanan nga dya?
005	Nagkuon si Jesus kananda, Mag-andam kamo nga indi kamo mapatalang ni bisan sin-o.
006	Duro nga mga tawo ang magaturohaw nga magapakuno-kuno nga sanda amo ang Cristo kag duro ang mapatalang.
007	Kon makabati gani kamo kang mga ginahud kang gyera kag kang mga balita nga may gyera sa marayu, indi kamo magkahadluk.
007	Ang mga butang nga dya kinahanglan nga matabo gid, pero bukun pa ti amo ria ang katapusan kang tanan.
008	Tungud hay magairinaway ang mga nasyon kag amo man ang mga ginharian.
008	May mga linog sa nagkalain-lain nga lugar kag magaabot ang taggurutum.
008	Pero dya umpisa pa lang nga daw pareho kang una nga pagpakutuy kang manugbata.
009	Kamo mismo mag-andam man tungud hay pagadakpun kamo kag itugyan sa mga hukmanan.
009	Pagahanoton kamo sa mga sinagoga, kag pagapaatubangun kamo sa mga gobernador kag sa mga hari tungud kanakun agud to nga magapanaksi kamo kananda.
010	Kag kinahanglan nga mawali gid anay ang Mayad nga Balita sa tanan nga mga nasyon.
011	Kag kon dakpun gani nanda kamo kag dar-un sa hukmanan, indi kamo magpalibug kon ano ang inyo ihambal.
011	Kon mag-abot ang tion nga to ihambal ninyo kon ano ang ginatugro kaninyo, tungud hay bukun kamo ang nagahambal kundi ang Balaan nga Ispirito.
012	May mga tawo nga magatugyan kang andang bugto para patyun, kag may mga tatay nga magahimo man ka dya sa andang mga kabataan, kag may mga kabataan nga magabato sa andang mga ginikanan kag ipapatay nanda dya.
013	Kaugtan kamo kang tanan tungud kanakun pero ang bisan sin-o tana nga magapadayon nga mapag-un hasta sa katapusan amo tana ang maluwas.
014	Kon makita run gani ninyo ang makangiril-ad nga butang nga nagatindug sa indi na dapat tindugan sa mga nagabasa ka dya, intiendiha gid ninyo ang inyo ginabasa, dapat ang mga tawo rugyan sa Judea magparalagyo run sa kabukidan.
015	Ang bisan sin-o nga rugto sa tapan nga atup kang anang balay, indi run magpanaog sa pagsulud sa anang balay para magbuul kang bisan ano.
016	Kag ang bisan sin-o nga rugto sa uma, indi run dapat mag-uli sa pagbuul kang anang kunup.
017	Makaluluoy sa amo ria nga mga inadlaw ang mga nagabusong kag ang mga nagapatiti.
018	Ipangamuyo ninyo sa Dios nga indi dya matabo sa tagraramig.
019	Tungud hay sa amo to nga mga inadlaw tama gid ka budlay ang mga kapipit-an nga magaabot nga wara pa maagumi kang mga tawo halin kang pagtuga kang Dios kang kalibutan hasta kadya kag wara run ti may matabo nga pareho karia sa paraaboton.
020	Kag kon wara ginpabugu kang Ginoo ang tion nga ria wara gid ti tawo nga mabilin.
020	Pero tungud gid lang sa anang mga pinili, ginpabugu na ang tion nga ria.
021	Gani kon may magkuon kaninyo nga Dya run ang Cristo ukon Rugto tana indi kamo magpati.
022	Tungud hay may magaturohaw nga mga bukun ti matuod nga Cristo, kag mga nagapakuno-kuno nga propeta.
022	Magahimo sanda kang mga milagro kag mga makatiringala nga mga butang sa katuyoan nga patalangun, kon mahimo pa lang, bisan ang mga pinili kang Dios.
023	Gani mag-andam kamo.
023	Ginsugid ko run kaninyo ang tanan nga mga butang samtang wara pa dya matabo.
024	Sa mga inadlaw nga to, pagkatapos kang mga kapipit-an, ang adlaw magadulum, kag ang bulan indi run magsanag.
025	Ang mga bituon magakarahulog halin sa langit kag ang mga butang sa kahawaan pagauyugun.
026	Kag dayon makita kang mga tawo ang Anak kang Tawo nga nagaabot nga ginadara kang panganod; tuman gid ang anang gahum kag pagkamahimayaun.
027	Dayon sugoon na ang anang mga anghel nga tiponon ang anang mga pinili halin sa tanan nga bahin kang kalibutan.
028	Magtuon kamo halin sa kahoy nga higera.
028	Kon nagapanglumbay run gani dya, maman-an ninyo nga dali run lang ang tag-irinit.
029	Sa amo man nga bagay, kon makita gani ninyo nga nagakaratabo run ang mga butang nga dya, maman-an ninyo nga dali run lang tana mag-abot kag nagahinamput run.
030	Sugidan ko kamo, magakaratabo ang tanan nga mga butang nga dya sa wara pa mapatay ang mga tawo sa dya nga panag-on.
031	Madura ang langit kag ang lupa, pero ang akun mga pulong magapabilin hasta san-o.
032	Wara gid ti bisan sin-o nga nakamaan kon ano nga adlaw ukon oras dya magakaratabo, bisan ang mga anghel sa langit ukon ang Anak; ang Amay gid lang ang nakamaan.
033	Mag-andam kamo kag magbantay tungud hay wara kamo makamaan kon san-o magaabot ang tion nga ria.
034	Daw pareho dya kang sangka tawo nga nagpanaw sa marayu.
034	Ginbayaan na ang anang balay kag gintugyan sa anang mga surugoon nga ang kada isara kananda may anang orobrahun.
034	Ginbilinan na man ang manugbantay kang pwertahan nga magbantay gid.
035	Gani magbantay gid kamo tungud hay wara kamo kamaan kon san-o magabalik ang agalun kang balay, kon sa kasisidmun ukon sa tungang gabii ukon sa tagparamalo kang sulog ukon sa kasanagun man.
036	Basi hinali lang mag-abot tana, kag masapwan na kamo nga nagakaraturog.
037	Ang ginakuon ko kaninyo, ginakuon ko man sa tanan: Magbantay gid kamo.
