verse	content
001	Am nimangay si Yeso do meyngaran so Kanlan a tokon.
002	Apnezak do ikadwa na araw am meysinaoli a mangay do rako a panaralayan.
002	Aro sira tao a mangay komala sya.
002	Karahan am amlisna si Yeso amnanao sira.
003	No kanang am nyangay da no mangnanao no iwawalam ni Moyse a tao a kano tao a macyagom do Vadisay o asa ka mavakes.
003	Iya rana am nisomagpyan a nyapisan da.
003	Karahan am patanken da ori do tangain ni Yeso.
004	Maniring sira ji Yeso am, Mo Mangnanao, yanisomagpyan o mavakes eya.
004	Namen nyapisan.
005	Maniring do iwawalam ni Moyse am to rana abhebhesi a patoposen o somagpyan a akman so mavakes eya.
005	Manngo ka do akman sang, mo Yeso.
006	O peycirngan da sang am ileylamdamen da si Yeso.
006	Ta no si ori pa o ipakakala da so iraherahet da sya am.
006	Karahan am meylologod si Yeso a kapeyvatvatek na no tanoro na do tana.
007	Am ji da kwan si Yeso a pacicin.
007	Karahan am meytatanek si Yeso.
007	Maniring jira am, Sino jinyo o yabo so raraten, ta manma gomseh jya no veysen.
008	Teyka na ori a ciring ni Yeso am mirwa pa meylologod a meyvatvatek no tanoro na do tana.
009	Mamizing da o ciring na am to sira teyteyras a mangay rana, amyapo do ney rakeh na kangay na do ney anak na a to rana teyteyras a mangay, a kararwa da rana ni Yeso a kano mavakes ang nimavezed.
010	Karahan am meytatanek si Yeso.
010	Maniring do mavakes ori am, Wanjin da nyangayan no aro a tao ang.
010	Yabo rana sira o yamakalavat so raraten mo ang?
011	Maniring o mavakes ori am, Jyabo rana.
011	Maniring si Yeso am, Ko na to peykabobwa o raraten mo.
011	So to mo na angai.
011	Am ji mo na peyneynama o kapeyraraten mo an.
012	Maniring si Yeso jira am, Yaken rana am zezak no karawan.
012	O macilolo jyaken a tao am amyan jira o zezak no onowned da.
012	So ji da rana ngyani do kasarisaryan.
013	Maniring jya o tao a macyagom do Vadisay am, Mo ipeylimwang o kataotao mo.
013	Ikongo na angangayan no ciring mo.
014	Maniring si Yeso am, Tana ipeylimwang ko o kataotao ko am ikongo na kalasan no ciring ko.
014	Ko katenngan o ko kapwan.
014	Ko katenngan o ko angayan.
014	Am inyo am nyo jyatenngi o ko kapwan a kano ko angayan.
015	No kamo manita so tao am nyo citahen o kapyapyan no iwawalam no tao.
015	Am yaken am ko jingwana sang.
016	No si amyan so oyaoyyan ko no tao am abo kalasan no ahahapan ko sya.
016	Ta beken a ko asa ka tao a yamamnek jya.
016	Ta namen rarwa si Ama a nimapahanhan jyaken do teyrahem.
017	O iwawalam nyo a yadomket do vakong am no rarwa rana o tao a meyyanoyong jya am ori o ikanoyong na, ta nimacita da no rarwa.
018	Ko ipeylimwang o kataotao ko am yakman sang si Ama a yanitomovoy jyaken a yamacyanoyong jyaken.
019	Maniring sira am, Wanjin na yanan ni Ama mo.
019	Maniring si Yeso am, Nyo jyatenngi yaken a kani Ama.
019	Ta no si katenngan nyo yaken am akman sang si Ama katenngan nyo.
020	O ciring rana ya am mina ciring ni Yeso do pangapangayan da so kingking da a kavangan do rako a panaralayan da.
020	No kanang am abo tao a amrakep sya.
020	Ta beken pa araw na no irakep da si Yeso.
021	Maniring pa si Yeso jira am, Ko na mangay.
021	So ikanoyong nyo a komala jyaken.
021	Mangay kawakwak nyo a jyavonas so raraten no si ji nyo a hamangi o peyraratenan nyo.
021	O angayan ko am ji kamo angay dang.
022	Maniring sira o tao do Yotay am, Yamaniring am, O angayan ko am ji kamo angay dang.
022	Manngwa, na rana to manmai o kataotao na saon?
023	Maniring si Yeso am, Inyo am tao kamo do teyrahem.
023	Am yaken am tao ko do teyngato.
023	O nakenakem nyo am nakenakem no tao do teyrahem.
023	Am yaken am yamacitarek.
024	Am ori o ko pancyan no kawakwak nyo a jyavonas so raraten, no si ji nyo a hamangi o peyraratenan nyo.
024	No si ji nyo nganoyngi yaken a meyngongyod a Tao do to am manoyong o kawakwak nyo a jyavonas so raraten.
025	Maniring sira ji Yeso am, Sino sino ka ya.
025	Maniring si Yeso am, Nipeycicinda ko rana jinyo a nipanci.
026	Yaro pa yako ipanci jinyo a vazay a ipamizing ko so marahet a icicirawat nyo.
026	So ikanoyong na no yanitomovoy jyaken do teyrahem.
026	Ta o ko nimamizing jya am ipeylimwang ko do tao do teyrahem.
027	Ji da tenngi no tao o malavat na ni Yeso a si Ama na do to.
028	Am ori o nipancyan na nya jira ni Yeso.
028	Maniring jira am, No si marateng o araraw no padketan nyo so Nipamnekan na ni Ama ta do to a tao do jyojika am katenngan nyo rana yaken a meyngongyod ko a Tao do to.
028	So ko ji mangozai do nakenakem ko.
028	Ta ko pangozayan o nakenakem no yanimapahanhan jyaken a si Ama.
029	Yabo na ji nidongi jyaken ni Ama a yanitomovoy jyaken do teyrahem.
029	Ko peyvazain o na isaray ni Ama.
029	Am ori o na jya to paveyvowi jyaken.
030	Mamizing da o ciring ni Yeso no aro a tao am anoyngan da rana.
031	Maniring si Yeso do omanoyong jya tao do Yotay am, No si hapen nyo o nanao ko am manoyong kamo na omonot jyaken.
032	Mangay kapakateneng nyo do manoyong a nanao na ni Ama ta do to.
032	So ikanoyong nyo na a somaliway.
033	Maniring sira am, Yamen rana am komownongan ji Apolahan.
033	So na ikabo pa no yanimapeylamsoy jyamen.
033	Mo ipanci o kasaliway namen no makwa.
033	Ikongo peypeypangayan no ciring mo ang.
034	Maniring si Yeso jira am, To ko na macitangayan jinyo am o meyraraten a tao am mamimin sira ori a lamlamsoy no raraten.
035	O pavahain a lamlamsoy do vahay am abo o panadnaden so akman sang.
035	Ta o meyngongyod a anak o panadnaden.
036	O Anak ni Ama ta do to o amvonas so raraten nyo.
036	So ikanoyong nyo na somaliway a abo rana so raraten.
037	Ko inyo katenngan a komownongan ji Apolahan am inyo am nyo naknakmen o nyo kawakwak jyaken.
037	Ta nyo ji ngapa o nanao ko.
038	O yako ipanci am nipakoyokoy na pa jyaken ni Ama.
038	Am o yanyo vazay am nyo hapen o ciring na jinyo no ama nyo.
039	Maniring sira am, Si Apolahan am ineynapo namen.
039	Maniring si Yeso am, No kamo manoyong a komownongan ji Apolahan am ahapen nyo o vazay ni Apolahan.
040	O ko vahangsowen jinyo am nimahap ko ji Ama ta do to a nanao.
040	Am inyo am nyo naknakmen o nyo kawakwak jyaken.
040	Abo o akman sang a mina vazay ni Apolahan.
041	O nyo peyvazain a vazay am vazay no ama nyo.
041	Maniring sira am, Yabo na ikararwa ni Ama ta do to a ama namen.
041	So namen ikanoyong a anak na.
042	Maniring jira si Yeso am, No yamanoyong si Ama ta do to a ama nyo am ikongo nyo jyarilawi nyaken.
042	Yaken rana am ko apo ji Ama ta do to.
042	Ko na nimai do teyrahem.
042	Am beken a nakenakem ko o ko kai, ta si Ama ta do to a yanimapahanhan jyaken.
043	Ikongo nyo ji makatenngi do ciring ko.
043	O na ikakman sang am nyo jyakzan a amizngen o ciriciring ko.
044	Inyo am anak kamo ni Satan.
044	Ta nyo pangozayan o nakenakem no ama nyo a nimakalapo no kakwa o kapangap na so tao.
044	Ji nakzan o manoyong a nanao, ta abo jya o manoyong a nanao.
044	Cinatao na o kapangalalas na, ta iya rana am kapangalalas na a yapwan no makakaday a malas.
045	O nyo ji nganoyngi jyaken am ko malavat o manoyong a nanao.
046	Pancyan kamo pala o yongkad no raraten ko.
046	Ikongo nyo ji nganoyngi jyaken a yamanci no yamanoyong a nanao.
047	O akma ney anak ni Ama ta do to a tao am ori omamizing so ciriciring na ni Ama ta do to.
047	Inyo rana am beken a akma ney anak inyo ni Ama ta do to.
047	Am ori o nyo ji ngamizngi sya.
048	Maniring sira o tao do Yotay ji Yeso am, Namen ipanci imo a tao do Samadiya a yakovotan.
048	Manngwa, yamalas ori?
049	Maniring si Yeso am, Yabo a yakomovot jyaken.
049	Ko ikanig si Ama.
049	Am inyo am nyo jyasnesnekan yaken.
050	Ko ji ngakzeba o ko kazwayan.
050	Ta si Ama o yazomwazway jyaken a yameylimwang nyaken.
051	To ko na macitangayan jinyo am o mahap so nanao ko am to meyyonong o akman sang a tao a ji rana wakwak.
052	Maniring sira o tao do Yotay jya am, Namen rana katenngan imo a yakovotan.
052	Yarana nimawakwak si Apolahan a kano panoyonoywan na so ciring ni Ama ta do to.
052	Am no ka maniring am, O mahap so nanao ko am to meyyonong o akman sang a tao a ji rana wakwak.
053	Yamo kadketan a ipanci o mo kahamahama pa kani Apolahan a inapo namen?
053	Yana nimawakwak si Apolahan a kano panoyonoywan na so ciring ni Ama ta do to.
053	Ikongo mo ahahapan so kataotao mo.
054	Maniring si Yeso am, No si azwain ko o kataotao ko am abo peypeypangayan no akman sang a azwazway.
054	O yazomwazway jyaken am si Ama a yanyo abneken a Tao nyo do to.
055	Iya rana am nyo jyatenngi.
055	Am ko katenngan.
055	No si ipanci ko o kaji ko makatenngan jya am akman ko jinyo ori a mangalalas.
055	Am ko katenngan a yamahap so nanao na.
056	Tod na ji nala o araraw no yai ko ni Apolahan a inapo nyo.
056	Katenngan na o kai ko am masaray rana.
057	Maniring sira jya o tao do Yotay am, Ala yaka pa jyanet a yasikalima 50 so kakawakawan eya an.
057	Manngwa, manoyong kanimakacita mo rana si Apolahan an?
