verse	content
001	Benendisyonan nin Dios si Noe asin an saiyang mga aking lalaki dangan tinaraman, Magkaigwa kamo nin dakul na mga aki tanganing an saindong kapagarakian makalakop sa bilog na daga.
002	An gabos na hayop, gamgam asin sira mabubuhay na igwa nin pagkatakot saindo.
002	Gabos sinda mapapasairarom kan saindong kapangyarihan.
003	Itatao ko saindo bilang kakanon an lambang linalang na may buhay kaiba an mga berdeng tinanom.
003	Itinatao ko saindo an gabos.
004	Alagad dai nanggad kamo magkakan nin karne na igwa pang dugo;
004	ipinapangalad ko iyan huli ta an buhay yaon sa dugo.
005	Papadusahan ko an siisay man na maggadan nin tawo.
005	Kagadanan an padusa sa hayop man o tawo na makagadan nin tawo.
006	An tawo ginibo sa ladawan nin Dios, kaya an siisay man na gumadan sa kapwa niya tawo, gagadanon man kan saiyang kapwa.
007	Kaipuhan na magkaigwa kamo nin dakul na aki tanganing an saindang kapagarakian makalakop sa bilog na daga.
008	Dangan nagtaram an Dios ki Noe asin sa mga aking lalaki kaini,
009	Makikipagtipan ako ngunyan saindo, sa saindong kapagarakian,
010	asin sa gabos na may buhaysa gabos na gamgam asin hayopsa gabos na kaibahan nindo na nagruluwas sa arka.
011	Sa mga tataramon na ini, nakikipagtipan ako sa saindo: nanunuga ako na dai na nanggad mapapara an gabos na may buhay sa paagi nin baha;
011	dai na nanggad mararaot an kinaban huli sa baha.
012	Bilang tanda kaining daing kataposan na tipan na sakong ginigibo saindo asin sa gabos na may buhay,
013	ibinubugtak ko an bulalangaw sa mga panganoron.
013	Iyan an magigin tanda kan pakikipagtipan ko sa kinaban.
014	Kun tahoban ko nin panganoron an kalangitan dangan malataw an bulalangaw,
015	magigiromdoman ko an sakong panuga saindo asin sa gabos na hayop;
015	asin dai ko na nanggad raraoton an gabos na may buhay sa paagi nin sarong baha.
016	Paglataw kan bulalangaw sa mga panganoron, mahihiling ko iyan asin magigiromdoman ko an daing kataposan na tipan ko sa gabos na may buhay sa kinaban.
017	Iyo iyan an tanda kan sakong pakikipagtipan sa gabos na may buhay.
018	Si Sem, si Ham asin si Jafet iyo an mga aking lalaki ni Noe na kaiba niyang nagluwas sa arka.
018	Si Ham iyo an ama ni Canaan.
019	Sindang tolo an ginikanan kan gabos na tawo sa kinaban.
020	Si Noe na sarong paraoma, iyo an kaenot-enoteng tawo na nagtanom nin ubas.
021	Nag-inom siya kan arak kaya naburat siya.
021	Hinukas niya an saiyang gubing dangan nagtorog na huba sa saiyang tolda.
022	Nahiling ni Ham, an ama ni Canaan, na huba an saiyang ama asin binaretaan an duwa niyang tugang na nasa luwas.
023	Nagkua nin alikboy si Sem asin si Jafet, isinablay sa saindang abaga dangan patalikod na luminaog sa tolda tanganing dai ninda mahiling an pagkanihuba kan saindang ama asin tinahoban an huba nindang ama.
024	Kan mahale an pagkaburat ni Noe asin naaraman an ginibo saiya kan ngohod niyang aki,
025	nagsabi siya,
026	Sumpaon si Canaan!
027	Siya an magigin oripon kan saiyang mga tugang.
028	Pag-omawon an Kagurangnan , an Dios ni Sem!
029	Si Canaan magigin oripon ni Sem.
030	Padakulaon logod nin Dios si Jafet!
031	An saiyang kapagarakian mag-erok logod sa kaibahan kan banwaan ni Sem!
032	Si Canaan magigin oripon ni Jafet!
033	Pakalihis kan baha, nabuhay pa si Noe sa laog nin tres syentos singkwentang taon
034	bago siya nagadan sa edad na nwebe syentos singkwentang taon.
