verse	content
001	At nakilala ng lalaki si Eva na kanyang asawa, at siya'y naglihi at ipinanganak si Cain, at sinabi, Nagkaanak ako ng lalaki sa tulong ng Panginoon .
002	Kasunod nito ay ipinanganak niya ang kanyang kapatid na si Abel.
002	Si Abel ay tagapag-alaga ng mga tupa at si Cain ay magbubungkal ng lupa.
003	Sa paglipas ng panahon ay nagdala si Cain ng isang handog sa Panginoon mula sa mga bunga ng lupa.
004	Nagdala rin si Abel ng mga panganay ng kanyang kawan, ang taba ng mga iyon.
004	At pinahalagahan ng Panginoon si Abel at ang kanyang handog,
005	subalit hindi niya pinahalagahan si Cain at ang kanyang handog.
005	Galit na galit si Cain, at nagngitngit ang kanyang mukha.
006	Sinabi ng Panginoon kay Cain, Bakit ka nagalit at bakit nagngitngit ang iyong mukha?
007	Kung ikaw ay gumawa ng mabuti, hindi ka ba tatanggapin?
007	At kung hindi ka gumawa ng mabuti, ang kasalanan ang nag-aabang sa pintuan.
007	Ikaw ang nais nito, subalit kailangang madaig mo ito!
008	Sinabihan ni Cain ang kanyang kapatid na si Abel, at nangyari nang sila'y nasa parang, tumindig si Cain laban kay Abel na kanyang kapatid, at ito'y kanyang pinatay.
009	At sinabi ng Panginoon kay Cain, Nasaan si Abel na iyong kapatid?
009	At sinabi niya, Aywan ko!
009	Ako ba'y tagapagbantay ng aking kapatid?
010	Sinabi niya, Ano ang ginawa mo?
010	Ang tinig ng dugo ng iyong kapatid ay dumadaing sa akin mula sa lupa.
011	Ngayo'y sinumpa ka mula sa lupa.
011	Ibinuka ng lupa ang bibig nito upang tanggapin ang dugo ng iyong kapatid mula sa iyong kamay.
012	Kapag binungkal mo ang lupa, ito ay di na muling magbibigay sa iyo ng kanyang lakas.
012	Ikaw ay magiging palaboy at pagala-gala sa lupa.
013	At sinabi ni Cain sa Panginoon , Ang parusa sa akin ay higit kaysa makakaya ko.
014	Ako ngayo'y itinataboy mo mula sa ibabaw ng lupa, at ako'y maikukubli sa iyong mukha.
014	Ako'y magiging palaboy at pagala-gala, sinumang makakita sa akin ay papatayin ako.
015	At sinabi sa kanya ng Panginoon , Hindi!
015	Sinumang pumatay kay Cain ay pitong ulit na gagantihan.
015	At nilagyan ng Panginoon ng isang tanda si Cain upang huwag siyang patayin ng sinumang makakita sa kanya.
016	At umalis si Cain sa harapan ng Panginoon at nanirahan sa lupain ng Nod, sa silangan ng Eden.
017	Sumiping si Cain sa kanyang asawa, at siya'y naglihi at ipinanganak si Enoc.
017	Siya'y nagtayo ng isang lunsod at tinawag ang lunsod ayon sa pangalan ng kanyang anak na si Enoc.
018	Naging anak ni Enoc si Irad; at naging anak ni Irad si Mehujael; at naging anak ni Mehujael si Metusael; at naging anak ni Metusael si Lamec.
019	At si Lamec ay nag-asawa ng dalawa; ang pangalan ng isa'y Ada, at ang pangalan ng ikalawa ay Zilla.
020	Naging anak ni Ada si Jabal.
020	Siya ang ama ng mga naninirahan sa mga tolda at may mga hayop.
021	Ang pangalan ng kanyang kapatid ay Jubal.
021	Siya ang ama ng lahat na tumutugtog ng alpa at plauta.
022	Ipinanganak ni Zilla si Tubal-Cain, ang panday ng lahat na kagamitang patalim na tanso at bakal.
022	At ang kapatid na babae ni Tubal-Cain ay si Naama.
023	At sinabi ni Lamec sa kanyang mga asawa,
024	Ada at Zilla, pakinggan ninyo ang aking tinig.
025	Kayong mga asawa ni Lamec ay makinig sa aking mga salita.
026	Pumatay ako ng isang tao, dahil sa pagsugat sa akin,
027	at ng isang binata, dahil sa ako'y sinaktan.
028	Kung pitong ulit ipaghihiganti si Cain,
029	tunay na si Lamec ay pitumpu't pitong ulit.
030	Muling nakilala ni Adan ang kanyang asawa at siya'y nanganak ng isang lalaki, at tinawag ang kanyang pangalan na Set; sapagkat kanyang sinabi, Binigyan ako ng Diyos ng ibang anak na kahalili ni Abel, sapagkat siya'y pinatay ni Cain.
031	Nagkaanak din si Set ng isang lalaki, at tinawag ang kanyang pangalan na Enos.
031	Nang panahong iyon ang mga tao ay nagsimulang tumawag sa pangalan ng Panginoon .
