verse	content
001	Hindi kinalimutan ng Diyos si Noe, at ang lahat ng may buhay, at ang lahat ng hayop na kasama niya sa sasakyan.
001	Pinahihip ng Diyos ang isang hangin sa ibabaw ng lupa, at humupa ang tubig.
002	Natakpan din ang mga bukal ng kalaliman at ang mga bintana ng langit, at napigil ang ulan sa langit.
003	Patuloy na bumabaw ang tubig sa lupa at humupa ang tubig pagkaraan ng isandaan at limampung araw.
004	Nang ikalabimpitong araw ng ikapitong buwan, sumadsad ang daong sa ibabaw ng mga bundok ng Ararat.
005	Ang tubig ay nagpatuloy ng paghupa hanggang sa ikasampung buwan.
005	Nang unang araw ng ikasampung buwan, nakita ang mga taluktok ng mga bundok.
006	Sa katapusan ng apatnapung araw, binuksan ni Noe ang bintana ng daong na kanyang ginawa.
007	Siya'y nagpalipad ng isang uwak, at ito'y nagparoo't parito hanggang sa natuyo ang tubig sa lupa.
008	Nagpalipad din siya ng isang kalapati upang tingnan kung humupa na ang tubig sa ibabaw ng lupa.
009	Ngunit ang kalapati ay hindi nakakita ng madadapuan ng kanyang paa, kaya't ito'y nagbalik sa kanya sa daong sapagkat ang tubig ay nasa ibabaw pa ng buong lupa.
009	Kaya't inilabas niya ang kanyang kamay, kinuha niya ito at ipinasok sa daong.
010	Muli siyang naghintay ng pitong araw at muling pinalipad ang kalapati sa labas ng daong,
011	at nang malapit nang gumabi, ang kalapati ay nagbalik sa kanya.
011	Sa kanyang tuka ay may isang bagong pitas na dahon ng olibo.
011	Kaya't nalaman ni Noe na humupa na ang tubig sa lupa.
012	Muli siyang naghintay ng pitong araw, at pinalipad ang kalapati at ito ay hindi na muling nagbalik sa kanya.
013	At nang taong ikaanimnaraan at isa, nang unang araw ng unang buwan, ay natuyo ang tubig sa ibabaw ng lupa.
013	Inalis ni Noe ang takip ng daong at tumingin siya, at nakita niyang ang ibabaw ng lupa ay natuyo na.
014	At nang ikadalawampu't pitong araw ng ikalawang buwan ay natuyo ang lupa.
015	At nagsalita ang Diyos kay Noe,
016	Lumabas ka sa daong, ikaw at ang iyong asawa, ang iyong mga anak, ang mga asawa ng iyong mga anak na kasama mo.
017	Ilabas mong kasama mo ang bawat isa na may buhay: ang mga ibon, at ang mga hayop, ang bawat gumagapang sa ibabaw ng lupa upang sila'y dumami sa ibabaw ng lupa, at magkaroon ng mga anak at dumami sa ibabaw ng lupa.
018	Kaya't lumabas si Noe, ang kanyang mga anak, ang kanyang asawa, at ang mga asawa ng kanyang mga anak na kasama niya;
019	bawat hayop, bawat gumagapang, at bawat ibon, anumang gumagalaw sa ibabaw ng lupa ayon sa kanyang angkan ay lumabas sa daong.
020	Ipinagtayo ni Noe ng isang dambana ang Panginoon .
020	Kumuha siya sa lahat ng malinis na hayop, at sa lahat na malinis na ibon, at nag-alay ng mga handog na susunugin sa dambana.
021	At sinamyo ng Panginoon ang masarap na amoy, at sinabi ng Panginoon sa kanyang puso, Hindi ko na muling susumpain ang lupa dahil sa tao, sapagkat ang haka ng puso ng tao ay masama mula sa kanyang pagkabata.
021	Hindi ko na rin muling lilipulin ang lahat ng nabubuhay na gaya ng aking ginawa.
022	Habang ang lupa ay nananatili, ang paghahasik at pag-aani, ang tag-init at taglamig, ang araw at gabi ay hindi hihinto.
