verse	content
001	Pagkatapos ay tinawag ni Jacob ang kanyang mga anak, at sinabi, Magtipun-tipon kayo at sasabihin ko sa inyo ang mangyayari sa inyo sa mga araw na darating.
002	Magtipun-tipon kayo at makinig, kayong mga anak ni Jacob;
003	at inyong pakinggan si Israel na inyong ama.
004	Ruben, ikaw ang aking panganay,
005	ang aking kalakasan, ang siyang pasimula ng aking kapangyarihan,
006	ang pinakamataas sa karangalan at kalakasan, at siyang kasakdalan ng kapangyarihan.
007	Kagaya ng kumukulong tubig, ikaw ay hindi mangingibabaw;
008	sapagkat, sumampa ka sa higaan ng iyong ama
009	pagkatapos ay dinumihan mo itosumampa sa aking tulugan.
010	Si Simeon at si Levi ay magkapatid;
011	ang kanilang mga sandata ay mga kasangkapan ng karahasan.
012	Huwag nawang pumasok ang aking kaluluwa sa kanilang payo;
013	huwag isama ang aking espiritu sa kanilang kapisanan;
014	Sapagkat sa kanilang galit ay pumatay sila ng tao,
015	at sa kanilang sariling kalooban ay nilumpo nila ang baka.
016	Sumpain ang kanilang galit, sapagkat ito ay mabangis;
017	at ang kanilang poot, sapagkat ito ay malupit.
018	Hahatiin ko sila sa Jacob,
019	at ikakalat ko sila sa Israel.
020	Juda, pupurihin ka ng iyong mga kapatid;
021	ang iyong kamay ay malagay sa leeg ng iyong mga kaaway;
022	ang mga anak ng iyong ama nawa ay yumukod sa harapan mo.
023	Si Juda'y isang anak ng leon.
024	Aking anak, ikaw ay umahon mula sa pagkahuli,
025	siya'y yumuko, siya'y lumugmok na parang leon;
026	at gaya ng isang babaing leon, sinong makakagising sa kanya?
027	Ang setro ay hindi mahihiwalay kay Juda,
028	ni ang tungkod ng pagkapuno sa pagitan ng kanyang mga paa,
029	hanggang sa ang Shilo ay dumating;
030	at ang pagtalima ng mga bayan sa kanya.
031	Itinali ang kanyang batang asno sa puno ng ubas,
032	at ang guya ng kanyang asno sa piling puno ng ubas;
033	nilabhan niya ang kanyang suot sa alak,
034	at ang kanyang damit sa dugo ng ubas.
035	Ang kanyang mga mata ay namumula sa alak,
036	at ang kanyang mga ngipin ay namumuti sa gatas.
037	Si Zebulon ay tatahan sa dalampasigan,
038	at siya'y magiging kanlungan ng mga sasakyang-dagat;
039	at ang kanyang hangganan ay magiging hanggang Sidon.
040	Si Isacar ay isang malakas na asno,
041	na nahihiga sa gitna ng mga kawan ng mga tupa;
042	at nakakita siya ng dakong pagpapahingahan, na ito ay mabuti,
043	at ang lupain ay maganda;
044	at kanyang iniyuko ang kanyang balikat upang pasanin,
045	at naging aliping sapilitang pinagagawa.
046	Si Dan ay hahatol sa kanyang bayan,
047	bilang isa sa mga lipi ni Israel.
048	Si Dan ay magiging ahas sa daan,
049	isang ulupong sa landas,
050	na nangangagat ng mga sakong ng kabayo,
051	kaya't nahuhulog sa likuran ang sakay niyon.
052	Aking hinintay ang iyong pagliligtas, O Panginoon .
053	Si Gad ay sasalakayin ng isang pulutong ng mandarambong,
054	ngunit siya ang sasalakay sa kanilang mga sakong.
055	Mula kay Aser, ang kanyang tinapay ay tataba,
056	at siya ay magbibigay ng pagkaing-hari.
057	Si Neftali ay isang babaing usa na pinakawalan,
058	na nagbibigay ng isang magandang pananalita.
059	Si Jose ay isang mabungang supling,
060	isang mabungang supling sa tabi ng bukal;
061	ang kanyang mga sanga'y gumagapang sa ibabaw ng pader.
062	Ginigipit siya ng mga bihasa sa pana,
063	at namamana, at naghihintay na tambangan siya.
064	Ngunit ang kanyang busog ay nananatili sa kalakasan,
065	at ang mga kamay ng kanyang bisig ay pinalakas
066	ng mga kamay ng Makapangyarihan ni Jacob
067	sa pangalan ng Pastol, ang Bato ng Israel,
068	sa pamamagitan ng Diyos ng iyong ama, na tutulong sa inyo,
069	ng Makapangyarihan sa lahat na magpapala sa inyo,
070	pagpapala ng langit mula sa itaas,
071	mga pagpapala ng mga kalaliman na nalalagay sa ibaba,
072	mga pagpapala ng mga dibdib at ng bahay-bata.
073	Ang mga pagpapala ng iyong ama
074	ay higit na malakas kaysa pagpapala ng walang hanggang kabundukan,
075	sa kasaganaan ng mga burol na walang hanggan;
076	nawa ang mga iyon ay mapasaulo ni Jose,
077	at para sa kilay niya na ibinukod mula sa mga kapatid.
078	Si Benjamin ay isang lobong mabangis;
079	sa umaga'y nilalamon niya ang nasila,
080	at sa gabi ay paghahatian niya ang samsam.
081	Ang lahat ng ito ang labindalawang lipi ng Israel.
081	At ito ang sinalita ng kanilang ama sa kanila, at sila'y binasbasan niya, ang bawat isa ayon sa basbas sa kanya.
082	Pagkatapos ay iniutos niya sa kanila, Ako'y malapit nang makasama sa aking bayan.
082	Ilibing ninyo ako sa tabi ng aking mga magulang, sa yungib na nasa parang ni Efron na Heteo,
083	sa yungib na nasa parang ng Macpela, na nasa tapat ng Mamre, sa lupain ng Canaan, ang parang na binili ni Abraham kay Efron na Heteo, upang maging libingan.
084	Doon nila inilibing si Abraham at si Sara na kanyang asawa; at doon nila inilibing si Isaac at si Rebecca na kanyang asawa; at doon ko inilibing si Lea,
085	sa parang at sa yungib na nandoon na binili mula sa mga anak ni Het.
086	Pagkatapos na si Jacob ay makapagbilin sa kanyang mga anak, itinikom niya ang kanyang mga paa sa higaan, siya'y nalagutan ng hininga at naging kasama ng kanyang bayan.
