verse	content
001	Nadamag ni Jetro, ti padi ti Midian ken katugangan ni Moises, ti amin nga impaay ti Dios ken ni Moises ken kadagiti Israelita idi inruar ni Yahweh ida idiay Egipto.
002	Iti kasta, napan ni Jetro ken ni Moises.
002	Intugotna ti asawa ni Moises, isu ni Sefora a nabati idi,
003	agraman da Gersom ken Eliezer nga annakda ken Moises.
003	Napanaganan ti maysa iti Gersom gapu ta kinuna idi ni Moises, Ganggannaetak idi iti sabali a daga.
003	Napanaganan met ti maysa iti Eliezer
004	gapu ti kinuna ni Moises, Ti Dios ni amak ti timmultulong kaniak ket inlisinak idi patayennak koma ti ari ti Egipto.
005	Dimteng da Jetro, Sefora ken dagiti dua nga annak ni Moises iti bantay ti Dios iti let-ang a nagkampoan ni Moises.
006	Pinakaammoanna ni Moises iti kaaddada isut' gapuna a
007	rimmuar ni Moises a nangsabat iti katuganganna.
007	Kinablaawanna sana inagkan.
007	Nagpinnakomustada iti kasasaad ti salun-at ti tunggal maysa sada simrek iti tolda ni Moises.
008	Imbaga ni Moises ken ni Jetro ti amin nga inaramid ni Yahweh iti ari ken iti amin nga Egipcio tapno ispalenna dagiti Israelita.
008	Imbagana met kenkuana ti rigat a naglasatan dagiti tattao iti dalan ken no kasano ti panangilasat ni Yahweh kadakuada.
009	Naragsakan ni Jetro a nakangngeg iti amin dagitoy
010	ket kinunana, Madaydayaw ti Apo a nangisalakan kadakayo kadagiti Egipcio ken iti ari!
010	Madaydayaw ti Apo a nangispal kadagiti tattao iti panangtagabu dagiti Egipcio.
011	Ita, ammokon a nabilbileg ti Apo ngem dagiti amin a didiosen gapu iti panangispalna kadagiti Israelita iti kinaranggas dagiti Egipcio.
012	Nangidatag ni Jetro iti daton a mapuoran ken sabsabali pay a sakrifisio a maipaay iti Dios.
012	Kimmuyog kenkuana ni Aaron ken dagiti amin a panglakayen ti Israel a napan iti nasagradoan a pannangan a naisagana a pagdaydayaw iti Dios.
013	Iti sumuno nga aldaw, makumikom ni Moises iti panangrisutna kadagiti riri dagiti tattao.
013	Nagmalmalem a napan kenkuana dagiti tattao.
014	Idi makita ni Jetro a katuganganna ti amin nga asikasoen ni Moises, sinaludsodna, Ania daytoy ar-aramidem para kadagiti tattao?
014	Apay a bukbukodam ti mangasikaso kadagitoy ket agmalmalem nga umay ditoy dagiti tattao tapno makiumanda kenka?
015	Kinuna ni Moises, Masapul nga aramidek daytoy agsipud ta umayda ammoen kaniak ti bilin ti Dios.
016	No adda agriri, umayda kaniak, ikeddengko no siasino kadakuada ti husto ket ibagak dagiti bilin ken linteg ti Dios.
017	Saan a husto ti ar-aramidem, imbalakad ni Jetro.
018	Parparigatem laeng ta bagim, kasta met dagiti tattao.
018	Dimo mabukodan daytoy a trabaho.
019	Denggem ti naimbag nga ibalakadko ket tulongannakanto ti Dios.
019	Masapul a sika ti dumatag iti Dios a kas pannakabagi dagiti tattao ket yumanmo kenkuana dagiti parikutda.
020	Masapul nga isurom kadakuada dagiti bilin ti Dios ket ilawlawagmo no kasano ti rumbeng a panagbiagda ken no ania ti nasken nga aramidenda.
021	Ngem saan la a dayta.
021	Pumilika met kadagiti makabael a lallaki.
021	Dutokam ida a kas pangulo dagiti tattao; adda mangipangulo kadagiti rinibu, kadagiti ginasut, kadagiti saglilimapulo, ken kadagiti sagsasangapulo.
021	Masapul a managbutengda iti Dios, mapagtalkan ken di mapasuksokan.
022	Agserbida a kas permanente a hues kadagiti tattao.
022	Mabalin nga idatagda kenka dagiti narikut a kaso, ngem isuda ti makaammo a mangibanag kadagiti babassit a riri.
022	Nalaklakanto ti trabahom ket mapalag-anankanto iti panangtulongda kenka.
023	No aramidem daytoy, kas ibilin ti Dios, dikanto marigatan ket agawidto dagiti tattao a naibanag dagiti parikutda.
024	Tinungpal ni Moises ti imbalakad ni Jetro.
025	Nangpili kadagiti makabael a lallaki kadagiti amin nga Israelita.
025	Dinutokanna ida a kas pangulo dagiti rinibu, dagiti ginasut, dagiti saglilimapulo, ken dagiti sagsasangapulo.
026	Nagserbida a kas permanente a hues kadagiti tattao.
026	Ni Moises ti pangidataganda kadagiti narikut a kaso ngem isuda ti mangibanag kadagiti babassit a riri.
027	Kalpasanna, nagpakada ni Jetro ken ni Moises ket nagsubli iti ilina.
