verse	content
001	El maga Pariseo pati el maga maestro Judio quien ya sale na Jerusalem ya ajunta alrededor di Jesus.
002	Y ya nota sila que tiene del maga dicipulo di Jesus ta come con mano sucio.
002	Quiere decir ese, nuay sila vene acorde con el maga reglamento del maga Judio acerca del lavada del mano.
003	El maga Pariseo pati todo el maga Judio hende ta come si hende ta lava anay el di ila maga mano, cay ta sigui pa sila el reglamento del di ila maga tatarabuelo.
004	Poreso si ta sale sila na tiangue y si ta llega sila na casa, necesita sila cumpli el ceremonia de lavar antes de comer sila masquin cosa.
004	Y mucho pa gayot otro maga reglamento de antes que ta sigui sila, como el lavada del maga tasita, maga caldero, y maga tason de bronze.
005	Por causa del di ila maga reglamento el maga Pariseo y el maga maestro Judio ya pregunta con Jesus, Porque man el di uste maga dicipulo hende ta lava mano antes de comer como ya ensea el di aton maga tatarabuelo?
006	Ya habla si Jesus canila, Ustedes maga doble cara!
006	Deverasan gane el cosa ya escribi el profeta Isaias acerca di ustedes
007	Este maga gente ta honra conmigo con el di ila maga boca lang, pero hende aquel con todo el di ila corazon.
008	El di ila alabanza conmigo no vale nada, cay ta ensea sila el maga reglamento del di ila mismo lang, como si fuera ese maga reglamento ta sale con Dios!
009	Ya continua habla si Jesus canila, Ahora, ustedes amo quien ya hace de olvida el mandamiento verdadero de Dios, y ta sigui lang el maga reglamento del gente.
010	Y ya habla pa le otra vez, Bien sabe gayot ustedes busca modo para evita sigui con el maga mandamiento de Dios, para puede sigui el di ustedes mismo maga reglamento.
011	Cay si Moises ya habla, Honra con el di ustedes tata y nana, y si quien ta malhabla con su tata y nana conviene le recibi el castigo de muerte.
012	Pero ustedes ta ensea que si un gente tiene alguna cosa para dale con su tata y nana, hende necesita dale canila, cay ese Corban.
012	Quiere decir, aquel cosa dedicao para con Dios lang.
013	Entonces hende ustedes ta permiti con ese persona para dale ayuda con su tata y nana.
014	Como si fuera ta habla ustedes que no vale nada el maga mandamiento de Dios, cay quiere ustedes sigui el di ustedes mismo maga reglamento, y ta ensea tamen ustedes ese con otros.
014	Y tiene pa otro maga cosas igual con ese que ta hace ustedes.
015	Ya llama le otra vez con el maga gente para atraca con ele, y ya habla le canila, Oi ustedes conmigo, y entende enbuenamente.
016	El comida que ta entra na boca del maga gente hende ta hace sucio con el di ila conciencia, sino el maga palabra malo que ta sale na di ila boca amo el que ta causa canila para comete pecado.
017	Si quien quiere aprende, necesita oi enbuenamente.
018	Despues si Jesus ya deja con el maga gente afuera, y ya entra le na casa, y su maga dicipulo ya pregunta con ele acerca de aquel cuento.
019	Poreso ya habla le, Hasta ustedes tamen hende pa ba gayot ta puede entende ese?
019	O hende ba ustedes ta realiza que masquin cosa comida ta entra na boca del gente hende ese ta hace sucio su conciencia?
020	El comida hende ta entra na su corazon sino na estomago, y despues ta sale na cuerpo.
020	Por medio de este cuento si Jesus ta habla que el gente puede come todol clase de comida.
021	Entonces ya habla le, El maga mal pensamiento que ta sale na corazon del gente amo ta hace sucio con el di suyo conciencia,
022	cay na corazon del maga gente ta sale maga mal pensamiento, el acto entre maga gente hende pa casao, el robos, el crimen,
023	el adulterio, el codicia, el maldad, el engao, el trabajo de sin verguenzadas, el celos y invidia, el maga palabra para malhabla con otros, el orgullo, y el maga locuras.
024	Todo ese maga mal deseo ta sale na corazon, y amo ese todo que ta hace sucio con el conciencia del maga gente.
025	Despues ya sale si Jesus de aquel lugar para anda na region cerca na dos ciudad de Tiro y de Sidon.
025	Cuando ya llega le alla, ya entra le na un casa, y no quiere era le manda sabe ni con ningunos que talla le, pero no puede man ele esconde.
026	Y alla na aquel lugar tiene un mujer Griego, nativo de Sirofenicia, y tiene le un anak mujer diutay pa, controlao del demonio.
026	Cuando ya oi le que si Jesus talla ya, aquel mujer ya anda dayun, y ya hinca na di suyo presencia.
026	Despues ya suplica le con Jesus para icha afuera con el demonio na cuerpo del di suyo anak.
027	Pero ya habla le este hablada de antes con el mujer, Dale anay come una con el maga bata, cay hende bueno si ay saca el di ila comida y ay buta lang con el maga perro.
028	El mujer ya contesta con ele, Deveras, Seor, pero sabe tamen yo que el maga perro abajo del mesa ta come el comida que ta hace derrama el maga bata.
029	Ya habla si Jesus con ele, Por causa del di tuyo palabra, volve ya tu, cay el demonio ya sale ya na cuerpo del di tuyo bata!
030	Ya volve le, y ya mira con su anak acustao na cama, y el demonio nuay mas na di suyo cuerpo.
031	Despues si Jesus ya sale na lugar de Tiro y ya pasa le na Sidon, para llega na Mar de Galilea pero ya pasa anay na lugar de Decapolis.
032	El maga gente ya lleva alla con ele un gente bungul pati ta habla gagerias.
032	Y ya suplica sila con Jesus para pone el di suyo mano con aquel gente.
033	Si Jesus ya lleva afuera con el bungul, solo solo lejos con el maga gente, y ya pone le su dedo na dos orejas de ese gente.
033	Despues ya escupi le y ya pone le su dedo na lengua del gente.
034	Despues ya alsa le su cara na cielo, y ya suspira le bien largo, y ya habla le con el gente, Efata.
034	Quiere decir Abri.
035	El bungul ya oi dayun, y el di suyo lengua ya queda bueno y despues ya puede ya le conversa bien claro.
036	Y si Jesus ya ordena con el maga gente, No habla ni con ningunos acerca de este milagro, pero mas ta prohibi le con el maga gente de no hablar, mas peor pa sila ta habla.
037	Y todo el maga gente ya queda bien estraao, y ta habla sila que bueno gayot todo el maga cosas que ta hace le.
037	Ta habla tamen sila que masquin con el maga bungul ta puede le manda oi, y con el maga apa ta puede le manda conversa.
