verse	content
001	Tiene pa dos dias antes de llegar el celebracion que ta llama el Passover y el otro ta llama el Pan Nuay Apujan.
001	Ahora el maga jefe del maga padre Judio pati el maga maestro Judio ta busca gayot si paquemodo ay puede arresta secretamente con Jesus para puede mata con ele.
002	Pero ya habla sila, Hende bueno si ay arresta kita con ele durante el maga celebracion, basi ay hace un alsamiento el maga gente contra canaton.
003	Un dia talla ya si Jesus na barrio de Betania, y mientras ta visita le na casa di Simon, aquel estaba leproso, ya llega un mujer llevando un botella hecho de alabastro lleno de perfume de nardo, bien caro.
003	Despues ya quebra le el pescueso del botella, y ya basia aquel na cabeza di Jesus.
004	Tiene del maga gente alla ya queda rabiao, y ta man hablajan sila, Porque man ya hace le usik el perfume?
005	Siendo ay puede pa era le vende aquel perfume con buen precio como tres cientos denario, y aquel cen ay puede pa era le dale con el maga pobre.
005	Despues ya principia ya sila regaa con ese mujer.
006	Pero ya habla si Jesus canila, No mete con este mujer.
006	Porque man ustedes ta estorba con ele?
006	Ya hace pa gane ele el cosa bueno para conmigo.
007	El maga pobre taqui pirmi junto con ustedes, y ay puede ustedes ayuda canila masquin cosa hora, pero yo, hende yo pirmi junto con ustedes aqui.
008	Este mujer ya hace lang todo el que puede le hace.
008	Ya perfuma ya le mi cuerpo adelantao para el dia del di mio entierro.
009	Ahora deverasan ta habla gayot yo con ustedes, que masquin na entero lugar del mundo donde ay habla el Buen Noticia acerca di mio, el buen trabajo de este mujer hende gayot nunca ay olvida menciona, como recuerdo di suyo.
010	Despues si Judas Iscariote, uno del doce dicipulo, ya anda dayun con el maga jefe del maga padre Judio, para hace un arreglo de entregar con Jesus canila.
011	Que bien alegre el maga padre Judio cuando ya oi sila el cuento di Judas, y ya promete sila paga con ele.
011	Desde ese hora si Judas ya precura gayot busca el oportunidad para traiciona con Jesus.
012	Ahora, na primer dia del celebracion del Pan Nuay Apujan, costumbre gayot ese del maga Judio de matar maga carnero para celebra el Passover.
012	Entonces el maga dicipulo ya pregunta con Jesus, Seor, donde man uste quiere que ay prepara came el cena del Passover?
013	Despues si Jesus ya manda anda dos del di suyo dicipulo, pero ya habla anay le canila, Anda ustedes na ciudad, y alla ay man encuentro ustedes un gente ta carga tibor de agua.
014	Sigui con ele, y entra na casa donde ay entra le, y habla con el dueo del casa, El Maestro ta pregunta si donde lugar na casa ay usa le para come el cena del Passover junto con el di suyo maga dicipulo.
015	Y ele ay dale con ustedes un lugar grande na piso arriba, daan limpio y arreglao, y alla prepara ustedes el cena di aton.
016	Despues el maga dicipulo ya camina ya para na ciudad, y cuando ya llega sila alla, todo el maga cosas ya habla canila si Jesus ya sucede.
016	Entonces ya prepara sila alla el cena del Passover.
017	Entonces cuando ta cerra ya el noche, ya llega si Jesus pati el di suyo doce dicipulo.
018	Y mientras ta cena sila, ya habla si Jesus canila, Ta habla gayot yo claro, que uno di ustedes aqui junto conmigo ta come, ay traiciona conmigo.
019	Despues ya queda sila todo bien triste, y cada uno di ila ya pregunta con Jesus, Yo ba, Seor?
020	Ya contesta si Jesus, Uno di ustedes na grupo de doce quien taqui junto conmigo ta hace tusmuk su pan na tason, ele amo ay traiciona conmigo.
021	Ya escribi el profeta na Sagrada Escritura que el Hijo del Hombre ay muri, pero que bien terrible el cosa ay pasa con ese gente quien ay entrega con ele na mano del enemigo!
021	Mas bueno pa era si nuay mas lang ele nace!
022	Mientras ta come pa sila, si Jesus ya saca pan y ya dale gracias con Dios, despues ya hace pedaso pedaso, y ya dale canila.
022	Y ya habla le, Saca ustedes este y come.
022	Este el di mio cuerpo.
023	Despues ya saca le el copa del vino del uvas, y cuando ya acaba ya le dale gracias con Dios, ya dale le el vino canila y todo sila ya toma ese.
024	Y ya habla le canila, Este di mio sangre, y por medio del di mio sangre que ay derrama yo mucho gente ay tene un nuevo manera para puede sila queda perdonao.
