verse	content
001	Tiene uno del maga Pariseo su nombre si Nicodemo, y ele un miembro del Consejo del maga Judio.
002	Un noche ya anda le visita con Jesus, y ya habla, Maestro, sabe came que Dios ya manda con uste aqui para ensea, cay nuay ni un gente puede hace este maga milagro que ta hace uste si hende Dios junto con ele.
003	Ya contesta si Jesus con Nicodemo, Ta habla gayot yo claro, si el gente hende ay nace otra vez, hende le nunca ay puede queda el ciudadano del Reino de Dios.
004	Ya habla si Nicodemo, Paquemodo man el gente de edad ay puede pa nace otra vez?
004	Hende na man ele ay puede entra ole na vientre del di suyo nana para nace por segunda vez.
005	Ya contesta si Jesus con ele, Ta habla yo mas claro, si un gente quiere queda bajo mando del Reino de Dios, necesita anay le nace por medio del agua y del Espiritu Santo.
006	Todo el quien ya nace como gente lang tiene el naturaleza de gente, pero el quien ya nace por medio del Espiritu Santo tiene tamen el naturaleza de Dios.
007	Y no queda espantao si ta habla yo que necesita uste nace otra vez.
008	Por ejemplo, el viento ta supla masquin donde quiere y puede uste oi el sonido de ese, pero no sabe uste si donde ese ta anda y donde ese ta sale.
008	Ansina tamen no sabe uste si paquemodo ay nace el gente por medio del Espiritu Santo.
009	Ya habla si Nicodemo con ele, Paquemodo ba ese ay queda posible?
010	Ya contesta si Jesus, Uste ba un gran maestro de Israel, y no sabe gale este maga cosas?
011	Ta habla gayot yo claro, came ta habla el cosa came sabe, y ta habla tamen el que ya mira ya came, pero nuay ni uno di ustedes ta cree el di amon mensaje.
012	Si hende gane uste ta cree conmigo cuando ta habla yo acerca del maga cosas que ta sucede aqui na mundo, paquemodo man uste ay cree si ta habla yo acerca del maga cosas celestial?
013	Nuay pa ni uno quien ya subi na cielo, sino el Hijo del Hombre lang, quien mismo ya sale na cielo.
014	De igual manera si Moises ya pone el culebra de bronze arriba del poste alla na desierto, ansina tamen necesita pone arriba del poste con el Hijo del Hombre,
015	para si quien ay tene fe con ele ay puede tene vida eterna.
016	Por causa del grande amor de Dios con el maga gente, ya manda le con el di suyo unico Hijo aqui na mundo, para aquellos quien ay tene fe con ele hende ay perde el di ila alma, sino ay tene vida eterna.
017	Cay Dios nuay manda con el di suyo Hijo aqui na mundo para jusga con el maldad del maga gente, sino para salva con todo el maga gente na mundo por medio del di suyo Hijo.
018	Aquellos quien ay tene fe con ese Hijo hende ay queda condenao, pero aquellos quien nuay fe con ele, condenao ya gayot cay nuay sila tene fe na nombre del unico Hijo de Dios.
019	Este el rason si porque sila condenao, cay ya llega ya el luz na mundo, pero el maga gente na mundo no quiere con ese luz, sino quiere gayot sila el oscuridad del maldad, cay malo gayot el di ila maga trabajo.
020	Aquellos quien ta hace malo, de porsi no quiere gayot sila atraca na claridad del luz, cay basi ay queda visto el di ila maga mal trabajo.
021	Pero aquellos quien ta hace el maga cosas justo na vista de Dios, ta atraca sila na claridad del luz para ay puede gayot mira el maga gente que ta hace sila el di ila maga trabajo por medio del ayuda de Dios.
022	Despues de cuanto dias si Jesus y el di suyo maga dicipulo ya anda para na lugar de Judea, donde ya gasta sila un poco de tiempo.
022	Mientras talla pa sila, ya bautisa sila con el maga gente.
023	Si Juan ta bautisa tamen na Aenon cerca na Salim, cay tiene alla mucho agua.
023	Y el maga gente ta anda alla con Juan para bautisa le canila.
024	Aquel tiempo nuay pa pone con ele na calaboso.
025	Ahora, el maga siguidores di Juan y un gente Judio ta tene discucion acerca del maga reglamento del ceremonia de limpiesa con agua.
026	Entonces ya anda sila con Juan y ya habla, Maestro, ta acorda ba uste con aquel gente ya man junto con uste alla na otro lao de Jordan, aquel ya habla uste canamon?
026	Ahora, ta bautisa ya man ele y dol todo el maga gente ta anda alla con ele.
027	Ya habla si Juan canila, El gente no puede tene autoridad si Dios hende ta dale ese con ele.
028	Ustedes gane mismo ya oi cuando ya habla yo que yo hende el Cristo, sino tiene quien ya manda lang conmigo vene una que con ele.
029	Ay dale yo con ustedes un ejemplo.
029	El novia amo para del novio.
029	Y el amigo del novio talla lang cerca con ele para puede oi si cosa le ay habla.
029	Y cuando ta oi le el voz del novio, bien alegre gayot ele.
029	Ansina tamen yo ta alegra, y ahora bien completo el di mio alegria.
030	Necesita le continua queda mas importante, y yo necesita queda mas bajo.
031	El quien ta sale na cielo amo el tiene mas alto autoridad que con todo.
031	Pero el quien ta sale na mundo, gente lang ele siempre, y masquin cuando le ta conversa, ta habla le acerca del maga cosas del mundo.
031	El quien ta sale na cielo, ele amo el mas importante de todo,
032	y ta habla le acerca del maga cosas ya oi y ya mira le, y dol nuay man gayot ni uno ta recibi el di suyo mensaje.
033	Pero el quien ta recibi el di suyo mensaje, ele ta admiti que Dios bien verdadero.
034	El persona con quien Dios ya manda aqui canaton ta habla el maga palabra de Dios, y con todo el corazon Dios ta dale con ele el Espiritu Santo.
035	El Padre Celestial ta ama gayot con su Hijo, y ya dale le todo autoridad para puede le controla todo las cosas.
036	Ahora, si quien ta cree con el Hijo de Dios y ta obedece con ele, ay tene gayot vida eterna.
036	Pero si quien ta desobedece con el Hijo de Dios hende nunca ay tene vida eterna, sino ay vivi le bajo del rabia de Dios hasta para cuando.
