verse	content
001	Un dia si Jesus ta reza na un lugar y cuando ya acaba le reza, uno del di suyo dicipulo ya habla con ele, Seor, ensea canamon reza como si Juan ya ensea con el di suyo maga dicipulo.
002	Ya habla si Jesus canila, Si ay reza ustedes con Dios, habla ansina
003	Padre Celestial, ta dale came honor con el di uste nombre sagrao,
004	y ta roga came que uste ay vene para reina canamon.
005	Y todo el dia dale canamon el comida ta necesita came,
006	y perdona el di amon maga pecado, como ta perdona tamen came con todo quien ta hace malo canamon.
006	Y no deja canamon cae na tentacion.
007	Despues ya habla si Jesus canila, Si por ejemplo durante el media noche tiene di ustedes ay anda con uno del di ustedes amigo para molesta con ele, y ay habla, Amigo, puede ba gaja dale anay alli conmigo un poco de comida?
008	Cay ya llega el di mio amigo quien ta man viaje y ahora talla le na casa por un noche lang, y nuay gayot yo que dale con ele para come.
009	Na.
009	Si por ejemplo ya contesta le adentro, Favor no molesta conmigo este hora, cay cerrao ya el puerta y acustao ya yo pati el di mio maga anak, poreso no puede yo levanta para dale contigo cosa cosa.
010	Ahora, cosa man gaja ay pasa despues?
010	Ta habla yo con ustedes que masquin no quiere el dueo del casa levanta cay man amigo man ustedes dos, ay levanta gayot ele para dale contigo cay ta perde ya el di tuyo huya para pidi que pidi con ele.
011	Poreso ta habla yo con ustedes, si ta reza pidi gayot y ay recibi ustedes el cosa quiere.
011	Continua gayot busca y ay encontra ustedes el cosa ta busca.
011	Continua saluda na puerta y ay invita con ustedes entra.
012	Cay si quien ta pidi, ele ay recibi;
012	y si quien ta anda busca, ele ay encontra;
012	y ay invita entra con el gente quien ta continua saluda.
013	Ustedes maga tata aqui hende nunca ay dale culebra con el di ustedes anak, si ta pidi sila pescao.
014	O si ta pidi tamen sila un bilug huevos, hende ustedes nunca ay dale alacran.
015	Ustedes maga tata, masquin pecador, sabe gayot quemodo dale cosas bueno con el di ustedes maga anak, poreso puede gayot ustedes asegura que el Padre Celestial ay dale gayot el Espiritu Santo con aquellos quien ta pidi con ele.
016	Un dia si Jesus ta icha afuera con el demonio na cuerpo del gente quien ya queda apa por causa de ese demonio.
016	Cuando ya sale ya el demonio na cuerpo de ese gente, enseguidas ya puede le conversa.
016	Y el maga gente ya queda espantao gayot.
017	Pero tiene di ila alla ya habla, Si Beelzebul gale el rey del maga demonio, amo el quien ta dale con ele ese poder para icha afuera con el maga demonio na cuerpo del maga gente.
018	Tiene tamen maga otro gente quiere pruba con ele, entonces ya pidi sila que hace le milagro para sabe sila si ele ba gayot el Cristo.
019	Pero sabe gayot le el di ila maga pensamiento, poreso ya dale le canila un ejemplo y ya habla le, Tiene un nacion ya queda dividido cay el maga gente ya forma maga grupo y ese maga grupo ya man contrario con uno y otro.
019	El resulta de ese, aquel nacion ya queda destrosao.
019	Ansina tamen si el maga miembro del familia pirmi ta man peleajan, ay tene sila desunion.
020	Entonces si ay anda contra si Satanas con ele mismo y si el di suyo maga siguidores ta man peleajan entre sila lang mismo, el resulta de ese si Satanas no puede mas continua reina.
020	Ta habla ustedes que ta icha yo afuera con el maga demonio cay tiene yo el poder di Satanas,
021	pero si ta dale conmigo si Beelzebul el di suyo poder para icha afuera con el maga demonio, paquilaya man ta icha afuera el di ustedes maga siguidores con el maga demonio?
021	Tiene ba sila mismo poder di Beelzebul?
021	Ay!
021	Hende gayot!
021	El di ustedes mismo siguidores ay habla que hende ustedes amo.
022	Pero si yo ta icha afuera demonio na cuerpo del maga gente por medio del poder de Dios, entonces bien claro gayot que Dios ta principia ya reina aqui con ustedes.
023	Sabe kita si tiene un gente bien valiente, ta visia le su casa y bien armao gayot le, y nuay quien puede mete el di suyo propiedad.
024	Pero si ay ataca con ele otro gente mas armao, deporsi ay gana con ele, y ay saca le todo el maga armas del dueo del casa que ta pensa le usa para defende con ele mismo.
024	Despues el ladron ay dividi con otros todo el maga cosas que ya roba le.
025	Si quien hende ta sigui conmigo, deporsi contra gayot ele conmigo y si quien hende ta ayuda recoje con el maga gente para sigui conmigo, como ta arria pa le con otros para desaleja conmigo.
026	Ya dale si Jesus este ejemplo, y ya habla, Al saler el demonio na cuerpo del gente, ta anda ese busca lugar donde donde na desierto para descansa, pero no puede man ele encontra lugar.
026	Entonces ta habla ese demonio, Ay bira ya lang yo ole na cuerpo de aquel gente donde ya sale yo.
