verse	content
001	Si Jesus ya entra lang na ciudad de Jerico y ya pasa lang ele de lo largo.
002	Tiene alla un gente el nombre si Zaqueo, el jefe del maga colector de impuesto.
002	Ese gente bien rico gayot.
003	Mientras si Jesus ta camina alla, si Zaqueo ta precura mira si quien gayot ese, pero nuay ele puede mira con Jesus cay ele bien pandak y tiene alla mucho gente.
004	Poreso ya man una le corre adelante del maga gente y ya subi na pono del palo para mira con Jesus, cay ese gayot el lugar donde ay pasa le.
005	Cuando si Jesus ya llega alla na pono del palo ya man tanga le, y ya habla, Zaqueo, abaja pronto, cay quiere yo man junto contigo este noche.
006	Poreso ya abaja si Zaqueo dali dali y ya volve na su casa donde ya recibi con Jesus con grande alegria.
007	Cuando ya mira el maga gente con Jesus entra na casa di Zaqueo, nuay sila aproba, y ya habla, Ay, que ver!
007	Ya entra man gayot ese gente na casa de ese quien hende ta sigui enbuenamente el ley di Moises, y alli pa le ay durmi luego de noche.
008	Despues si Zaqueo ya para na presencia de todo y ya habla con el Seor, Seor, oi anay uste conmigo.
008	Ay dale yo mitad del di mio bienes con el maga pobre, y si ya engaa yo masquin con quien, ay dale yo canila cuatro veces mas.
009	Ya habla si Jesus, Na.
009	Mira!
009	Este gente verdadero gayot ya sale na linea di Abraham, cay tiene gayot ele fe con Dios.
009	Este dia el maga gente de este casa ya recibi salvacion.
010	El Hijo del Hombre ya vene para busca y salva con el maga gente quien no conoce con Dios.
011	Mientras el maga gente ta oi gayot con ele, si Jesus ya continua pone cuento, cay cerca ya le na Jerusalem y el maga gente ta pensa que apenas ele ay entra na ciudad ay principia dayun el Reino de Dios.
012	Poreso ya habla le, Tiene un gente de familia reconocido ya anda na otro nacion bien lejos para recibi el puesto de un rey, y ay volve le despues de ese nombramiento.
013	Pero antes de largar le viaje ya llama le dies del di suyo maga ayudante, y ya dale ciento cincuenta pesos cada uno di ila, y ya habla le, Negocia con este cen hasta ay volve yo otra vez.
014	Ahora, su maga compoblano ta odia gayot con ele, poreso ya manda sila maga mensajero para sigui con ele, y ya habla sila, No quiere came que este gente ay queda el di amon rey.
