verse	content
001	Por cuanto meses si Jesus ya viaja na maga lugar de Galilea en vez de birar ole na Judea, cay el maga lider Judio alla ta planea mata con ele.
002	Aquel mismo tiempo cerca ya el Celebracion del maga Payak que ta celebra el maga Judio cuando ya acaba ya el di ila cosecha.
003	Despues el maga hermano di Jesus ya habla con ele, Porque man hende tu sale aqui y anda na Judea para el di tuyo maga siguidores alla ay puede tamen mira el di tuyo maga milagro,
004	cay si un persona quiere queda bien reconocido, hende le ta esconde el di suyo trabajo.
004	Entonces si puede tu hace maga milagro, dale ya gayot mira con todo el maga gente.
005	Ya habla sila ansina cay masquin maga hermano ya sila di Jesus, hende sila ta cree con ele.
006	Despues ya habla si Jesus canila, Nuay pa llega el di mio tiempo para hace aclara el di mio persona con el maga gente, pero si para con ustedes, puede masquin cosa hora.
007	El maga gente del mundo hende ta man contra con ustedes, pero yo amo con quien sila ta rabia gayot, cay ta habla que habla yo canila acerca del di ila maldad.
008	Anda ya ustedes na celebracion, pero yo hende pa ay anda, cay nuay pa llega el di mio tiempo para anda.
009	Despues de contestar si Jesus canila, ya esta le na Galilea.
010	Despues de caminar el maga hermano di Jesus para na Jerusalem, ya anda tamen ele, pero hende na publico, cay no quiere le que el maga gente ay sabe que talla le.
011	Mientras tanto alla na celebracion bien dalasucan gayot el maga gente, y el maga lider Judio ta manda busca con ele, y el mismo tiempo ta pregunta sila, Donde ya aquel gente?
012	Tiene alla mucho gente y ta man cucho cucho sila con uno y otro acerca di Jesus.
012	Tiene di ila ta habla, Buen gente aquel.
012	Y tiene tamen ta habla, Ay, hende!
012	Ta engaa le con el maga gente.
013	Pero todo man sila tiene miedo habla duro basi ay oi canila el maga lider Judio.
014	Amediao del semana del celebracion, si Jesus ya anda na templo y ya principia ensea con el maga gente.
015	Cuando ya oi el maga lider Judio el di suyo enseanza, ya queda gayot sila bien espantao, y ya habla, Paquemodo man este gente bien sabe mucho, siendo nuay man ele nunca estudia?
016	Entonces si Jesus ya contesta canila, Este que ta ensea yo hende ta sale na di mio mismo pensamiento, sino ta sale con aquel quien ya manda conmigo aqui na mundo.
017	Si un gente quiere sigui el deseo de Dios, ay sabe man le el cosa ta ensea yo si ta sale ba con Dios o ta sale lang na di mio mismo pensamiento.
018	Si un gente ta habla lang del di suyo mismo pensamiento, quiere gayot le recibi el alabanza y el respeto del maga gente, pero un gente quien quiere hace alabanza con el quien ya manda con ele vene aqui na mundo, el di suyo enseanza bien deverasan gayot, y hende ele engaador.
019	Si Moises ya dale el ley con ustedes, hende ba?
019	Pero nuay ni uno di ustedes ta obedece el ley.
019	Porque man ta precura ustedes mata conmigo?
020	Ya contesta el maga gente, El demonio gaja ta controla con uste.
020	Quien ba quiere mata con uste?
021	Si Jesus ya contesta canila, Una vez ya hace yo un grande milagro na dia de Sabado, y ya queda ustedes bien espantao gayot.
022	Si Moises ya ordena con ustedes para hace siempre islam, pero hende ele el quien ya principia ese clase de costumbre, sino el di aton maga tatarabuelo quien ya existi una pa que con Moises, sila amo el quien ya principia ese costumbre, y ustedes ta hace islam masquin na dia de Sabado.
023	Si ta puede ustedes hace islam con el bata hombre na dia de Sabado para cumpli el ley di Moises, porque man rabiao ustedes conmigo cay ya cura yo con el gente inutil na dia de Sabado?
024	No decidi dayun habla maga cosas amo o hende amo, pero precura anay sabe tamen si cosa gayot el intencion del un persona.
025	Mientras tanto tiene del maga gente de Jerusalem ta habla, Ese ya el gente con quien el di aton maga lider ta planea mata, hende ba?
