verse	content
001	Despues de cuanto dias si Jesus ya bira otra vez na Capernaum, y el maga gente ya sabe que talla le na casa donde ta esta le siempre.
002	Nuay dura bien mucho gente ya ajunta alla na casa, y hasta afuera del puerta lleno de gente.
002	Y ta habla si Jesus con esos el mensaje de Dios.
003	Despues ya llega un grupo de gente, y junto canila tiene cuatro persona ta carga un gente paralitico adentro na duyan de manta.
004	No puede sila atraca con Jesus, cay mucho gayot gente.
004	Poreso ya subi sila na techo y ya quita un pedaso del techo.
004	Despues ya hace sila abaja con el enfermo na duyan de manta alla enfrente di Jesus.
005	Cuando si Jesus ya mira el cosa sila ta hace, sabe gayot ele que tiene sila fe con ele, y ya habla le con el paralitico, or, perdonao ya el di tuyo pecado.
006	Ahora, tiene del maga maestro Judio sentao alla ya principia man buruca entre sila acerca del maga palabra di Jesus.
007	Y ya habla sila, Porque man este gente ta habla ansina?
007	Ta man pa Dios ele.
007	Nuay gane gente quien ta puede perdona con el pecado, sino Dios lang.
008	Pero si Jesus ya puede dayun sabe si cosa sila ta pensa,
009	y ya habla le canila, Porque man ustedes ta pensa que pensa acerca del di mio maga palabra?
009	Cosa ba ustedes ta pensa mas facil para hace - si ay habla yo con este paralitico que perdonao ya el di suyo pecado, o si ay habla yo con ele, levanta y recoje el di suyo duyan de manta y camina ya?
010	Ahora ay dale yo con ustedes mira que el Hijo del Hombre tiene autoridad aqui na mundo para perdona el pecado del maga gente.
011	Despues ya habla le con el paralitico, or, ta habla yo con uste, levanta y recoje el di tuyo manta y volve ya.
012	Entonces ya levanta un tiro el paralitico, y ya recoje dayun su manta y ya sale le afuera, y todo el maga gente alla ya mira si cosa ya sucede.
012	Poreso ya queda sila bien espantao, y ta alaba sila siempre con Dios y ya habla pa sila, Nuay pa gayot came mira nunca el cosa ya sucede este dia!
013	Ya anda ole si Jesus na orilla del Mar de Galilea, y un manada de gente ya ajunta con ele, y ya principia le ensea canila.
014	Cuando ya acaba ya le ensea, ya sale ya le alla y mientras ta camina sila, ya mira le con el colector de aduana quien sentao na su oficina.
014	El nombre de ese gente si Levi, el hijo di Alfeo.
014	Si Jesus ya habla con ele, or, vene ya y sigui conmigo.
014	Entonces si Levi ya levanta y ya sigui lang con Jesus.
015	Un dia si Jesus ta come na casa di Levi.
015	Talla tamen sentao junto con Jesus y con su maga dicipulo, el maga colector del maga impuesto y otro maga gente ta llama pecador cay hende sila ta sigui enbuenamente na religion del maga Judio.
015	Mucho gente de ese clase ya ajunta pirmi con Jesus.
016	Tiene alla maga maestro Judio quien maga miembro tamen del grupo del Pariseo.
016	Cuando ya mira sila con Jesus ta come junto con el maga colector del maga impuesto pati con el maga gente ta llama pecador.
016	Y ya habla sila con el maga dicipulo di Jesus, Porque man ele ta come junto con el maga colector del maga impuesto y con el maga pecador?
017	Cuando si Jesus ya oi el di ila acusacion, ya habla le, El gente bueno hende ta necesita el ayuda del doctor, sino el quien lang tiene enfermedad.
017	Nuay man yo vene na mundo para llama con el maga gente quien ta pensa que nuay sila pecado, sino ya vene gayot yo para llama con el maga gente quien ta admiti que sila maga pecador gayot.
018	Un dia el maga dicipulo di Juan el Bautista y el maga Pariseo ta ayuna, poreso tiene del maga gente ya anda pregunta con Jesus, Porque man el di uste maga dicipulo hende ta ayuna igual con el maga Pariseo y con el maga dicipulo di Juan.
019	Si Jesus ya contesta canila, Ta pensa ba ustedes que el maga visita del casamiento ay ayuna si talla pa el novio junto canila?
019	Hende!
019	Mientras talla pa el novio junto canila, hende gayot sila ay ayuna.
020	Pero al llegar el dia ay saca con el novio, ese ya el dia ay ayuna sila.
021	Ay dale yo con ustedes un ejemplo: hende bueno hace tucap el nuevo pedaso de tela na camisa daan, cay si ay hace le ese, el nuevo tela mas ay hace pa rompe con el camisa daan, y el roto ay queda mas grande.
022	Taqui tamen otro ejemplo: hende tamen conviene pone el nuevo vino na daan deposito de cueroy cabrito, cay si ay hace le ese, el daan deposito ay rebenta y ay queda nuay sirve, y el vino tamen ay man usik lang, poreso necesita basia el nuevo na nuevo deposito.
023	Un Sabado, el dia de descanso del maga Judio, si Jesus y su maga dicipulo ta camina na tablon de trigo.
023	Y mientras ta camina sila, el maga dicipulo ta corta cuanto bilug del maga espigas de trigo.
024	Despues el maga Pariseo ya habla con Jesus, Mira!
024	Porque man sila ta hace el cosa ta prohibi el ley di Moises para hace na dia de descanso?
025	Ya contesta si Jesus canila, Nuay ba ustedes lee acerca del cosa ya hace si Rey David aquel tiempo ele pati el di suyo maga uban ya tene mucho necesidad y ya queda sila bien con hambre?
026	Sabe kita si paquemodo le ya entra na casa de Dios y ya saca con el maga pan sagrao, despues ele pati el di suyo maga uban ya come ese, masquin ta prohibi el ley di Moises.
026	Sabe kita Dios ta permiti lang con el maga padre para come con ese pan.
026	Este ya sucede cuando si Abiatar amo el Padre Superior del maga padre Judio.
027	Ya habla si Jesus con el maga Pariseo, Dios ya escoje el dia de descanso para el bien del gente, y nuay ele crea con el gente para sirvi lang gayot con ese dia.
028	Entonces el Hijo del Hombre tiene autoridad na ordenanza del Sabado, el dia de descanso.
