verse	content
001	Tiene un gente el nombre si Lazaro quien ya queda enfermo.
001	Ta queda le junto con su dos hermana, si Maria y si Marta, na barrio de Betania na Judea.
002	Este si Maria amo el quien ya basia perfume na pies del Seor y ya limpia le con ese con su pelo, y este enfermo si Lazaro amo el hermano di suyo.
003	Cuando ya queda enfermo si Lazaro, el di suyo maga hermana ya manda mensajero para habla con Jesus, y ya habla sila, Seor, enfermo ya el di uste amigo si Lazaro, con quien ta ama uste.
004	Cuando ya oi si Jesus el mensaje, ya habla le con su maga dicipulo, El ultimo resulta de ese enfermedad di suyo hende man para muri, sino ya sucede ese para Dios ay recibi honor, y por medio de ese enfermedad el maga gente ay dale honor tamen con el Hijo de Dios.
005	Si Jesus ta ama gayot canila tres, con Marta, con Maria, y con Lazaro,
006	pero cuando ya recibi le el mensaje que si Lazaro enfermo, nuay gane si Jesus anda dayun, sino ya man duluk pa le dos dias donde ta esta le.
007	Despues de aquel ya habla le con el di suyo maga dicipulo, Anda ya kita otra vez para na Judea.
008	Ya contesta el maga dicipulo, Na, Maestro, nuay pa gane tarda el maga lider Judio quiere guerria piedra con uste.
008	Porque man uste quiere pa bira alla?
009	Despues si Jesus ya dale canila un ejemplo: El dia tiene doce horas, hende ba?
009	Entonces si ta camina el gente na claridad, hende ele ay tumba cay el luz de este mundo ta dale claridad con ele.
010	Pero si ta camina gane le durante el noche, deporsi ay tumba gayot ele cay nuay ele luz para guia con ele.
011	Cuando ya acaba le man cuento, ya habla pa le canila, Si Lazaro el di aton amigo ta durmi lang, pero ay anda yo alla para hace con ele disperta.
012	Ya contesta el di suyo maga dicipulo, Seor, si ta durmi lang man ele, ay queda le bueno.
013	Ya habla sila ansina cay pensaba sila que si Jesus ta habla acerca del durmida di Lazaro, pero el quiere decir si Jesus amo que si Lazaro muerto ya.
014	Poreso ya hace ya lang gayot ele entende canila, y ya habla, Muerto ya si Lazaro,
015	y mas bueno gane para con ustedes que nuay yo alla junto con ele, para puede gayot ustedes cree y tene fe conmigo.
015	Na.
015	Anda ya kita.
016	Despues si Tomas, uno del maga dicipulo di Jesus que ta llama sila el Cambal, ya habla con el los demas, Anda ya kita todo y sigui con el maestro para muri kita junto con ele!
017	Cuando ya llega canda Jesus na Betania, ya sabe sila que cuatro dias ya enterrao si Lazaro.
018	Este barrio de Betania tiene maga tres kilometro lang man de lejos para na Jerusalem.
019	Y mucho del maga Judio de Jerusalem ya llega ya para consola con Marta y con Maria por causa del muerte del di ila hermano.
020	Cuando ya oi si Marta que si Jesus taqui ya de camino, ya anda gayot ele hace encuentro con Jesus, pero si Maria talla lang ya esta na casa.
021	Apenas ya mira si Marta con Jesus, ya habla le, Seor, si taqui lang gayot uste, nuay era muri mi hermano.
022	Pero sabe man gayot yo que si cosa uste ay pidi con Dios, ay dale le dayun con uste.
023	Ya habla si Jesus con ele, Marta, el di tuyo hermano ay levanta ole.
024	Ya contesta si Marta, Si, Seor, sabe yo ay resucita le na ultimo dia.
025	Ya habla si Jesus con ele, Marta, yo amo el quien ta hace levanta con el maga muerto, y yo amo tamen ta dale vida.
025	Si quien ay cree y obedece conmigo, masquin ya muri ya le, ay vivi le junto con Dios hasta para cuando.
026	Y si quien vivo pa y ay cree y obedece conmigo, hende le nunca ay muri.
026	Ta cree ba tu este maga palabra di mio?
027	Ya contesta si Marta, O si, Seor.
027	Ta cree ya gayot yo que uste el Cristo, el Hijo de Dios, con quien ya dura ya gayot came ta espera para vene aqui na mundo.
028	Despues de hablar si Marta ansina ya volve le na casa y ya llama con Maria secretamente, y ya habla, Taqui ya el Seor de camino y ta busca le contigo.
029	Cuando ya acaba ya habla si Marta con ele, si Maria ya levanta dayun para anda hace encuentro con Jesus.
030	Pero aquel hora si Jesus nuay pa llega na barrio, sino talla pa gayot ele na aquel lugar donde ya man encuentro sila dos di Marta.
031	Talla ya na casa junto con Maria maga visita de Jerusalem quien ta consola con ele, y cuando ya mira sila que si Maria ya sale na casa bien apurao, ya sigui tamen sila con ele, cay ta pensa sila basi ay anda le na tumba para alla lang ele ay llora.
032	Pero ya anda si Maria donde si Jesus, y cuando ya mira le con ele, ya hinca na su presencia y ya habla, Seor, si taqui lang gayot uste, nuay era muri mi hermano.
033	Cuando si Jesus ya mira que ta llora si Maria, y hasta el maga visita Judio que ta sigui con ele ta llora tamen, ya queda le estorbao.
034	Poreso ya pregunta le canila, Donde ba ustedes ya enterra con ele?
035	Y ya habla sila, Sigui canamon, Seor, para mira uste.
036	Despues si Jesus mismo ya llora tamen.
037	Cuando ya mira el maga visita Judio ta cae el di suyo lagrimas, ya habla sila, Mira ustedes si paquemodo gayot ele ya ama con ese gente.
038	Pero tiene del maga miron ya habla, Este el gente ya puede cura el ojos del bulak, entonces, porque man nuay le puede suspende el muerte di Lazaro?
039	Otra vez si Jesus ya queda estorbao.
039	Despues ya sigui le alla na lugar donde ya enterra sila con Lazaro.
039	Aquel tumba como un cueva y tiene un piedra grande para cerra el boca de ese si adentro ya el muerto.
040	Despues ya habla si Jesus, Quita ese piedra na boca del cueva.
041	Pero si Marta, el hermana del difunto, ya habla, Ay, Seor!
041	Ahora ta apesta ya le cay cuatro dias ya le de muerto.
042	Si Jesus ya hace con ele acorda ole, Marta, nuay ba yo habla contigo que si tiene tu fe ay mira tu el poder de Dios?
043	Entonces tiene del maga gente ya quita el piedra na boca del cueva.
043	Despues si Jesus ya alsa su cara na cielo y ya reza, Padre Celestial, ta dale yo gracias con uste, cay ya oi ya uste conmigo.
044	Y sabe yo ta oi uste conmigo siempre, pero ahora ta habla yo este para el maga gente aqui ay oi y cree que uste el quien ya manda conmigo aqui na mundo.
045	Cuando ya acaba le reza, ya grita le bien suena, Lazaro, levanta!
045	Sale alli!
046	Despues el quien estaba muerto ya sale afuera del cueva, y su maga mano y pies lucut pa con tela blanco, y su cara tamen envuelto pa de tela.
046	Despues si Jesus ya habla con el maga gente cerca con ele, Desata todo ese maga tela na su cuerpo para puede ya le camina volve.
047	Mucho del maga visita Judio quien ya sigui junto con Maria na tumba di Lazaro ya tene fe con Jesus por causa de ese milagro.
048	Pero tiene di ila ya anda avisa con el maga Pariseo na Jerusalem acerca del cosa ya hace si Jesus na Betania.
