verse	content
001	Intuloy nen Jacob so akar to tan amaarap ed dalin a bandad Bokig.
002	Kabebekta anengneng toy sakey a bobun ed alog a walay taloran simpok na karniron mandokdokul ed abay to.
002	Diay inoman da tan walay baleg a batod sangab to.
003	Kapag mantitipon irad may karniro, ekalen na saray pastol imay bato, painomen da ra, insan da ipawil imay bato ed pasen to.
004	Tinepet nen Jacob ed saray pumapastol, Kakaaro, taga iner kayo?
005	Taga kami Haran, ebat da.
006	Tinepet to, Kabat yoy Laban ya anak nen Nacor?
007	On, ebat da.
008	Maksil ni?
008	tepet to.
009	On, ebat da, Nengneng mo, nia lay Raquel ya anak to, a kaiba to ray karniro nen ama to.
010	Inkuanen Jacob, Atagey niy agew tan aliwa nin oras na panangisempet na karniro, akin et ag yo ra painomen, insan yo ra ipawil ya ipastol?
011	Inmebat ira, Ag mi tan nagawaan ya anggad wadya la ran amin so karniro tan nakal lay bato;
011	insan mi la rad satan painomen.
012	Legan nen Jacob a mitotongtong ed sikara, sinmabiy Raquel a kaiba to ray karniro nen ama to.
013	Nen anengneng nen Jacob si Raquel a kaiba to ray karniro nen pangamaen ton Laban, inmasingger ed samay bobun, inekal to may bato, tan pinainom to ra.
014	Insan to inanguban si Raquel, tan manakis ed liket to.
015	Inkuantod sikato, Kanayon ak nen amam;
015	anak ak nen Rebeca.
016	Batik si Raquel ta imbaga tod kinen ama to so insabi nen Jacob.
017	Nen nadngel nen Laban so balitan nipaakar ed kinen kaanakan ton Jacob, binatik ton inabet, nilakap to tan inanguban to, insan to intagar ed abung to.
017	Nen imbaga nen Jacob so amin ya agawa,
018	inkuanen Laban, On, andi-duaruwa a sikay dilin laman tan pokel ko.
018	Nanayam dimay Jacob na sakey bulan.
019	Inkuanen Laban ed kinen Jacob, Anggaman kaanakan ta ka, tumangan ta kad pankikimey mo.
019	Pigaray labay mon iyupak ed sika?
020	Walay duaran bibiin anak nen Laban: Lea so pangulowan, tan Raquel so yogtan.
021	Balibali ray mata nen Lea, balet maung ya impanlaman tan maganggana si Raquel.
022	Walay panibeg nen Jacob ed kinen Raquel, kanyan inkuanto, Manlingkur ak ed sikayo a pitoy taon, no paasawa yod siak si Raquel.
023	Inmebat si Laban, Labay ta ka nin mangasawad sikato nen say arum;
023	sigi, manayam ka dia.
024	Nanlingkur sirin a pitoy taon si Jacob pian naasawa toy Raquel, balet singa pigpigaran agew imay pitoy taon, lapud panangaro tod kinen Raquel.
025	Insan inkuanen Jacob ed kinen Laban, Sinmabi lay panaon a pangasawak ed anak ko.
026	Kanyan namponsiay Laban tan inimbitaan toy amin a totoo.
027	Balet diad saman a labi si Lea, aliwan si Raquel, so inter nen Laban, tan sikatoy inakdulan sirin nen Jacob.
028	Inter nen Laban si aripen ton Zilpa ed kinen Lea, pian walay katulong to.
029	Diad kabwasan labat so impakaamta nen Jacob a si Lea manayay kaakdul to.
029	Linmad kinen Laban tan inkuanto, Akin et ginawa yo yad siak?
029	Si Raquel so nansagputan ko.
029	Akin et pinalikdo yo ak?
030	Inmebat si Laban, Aliwan kaogaliyan dia ya ononay yogtan a miasawa nen say pangulowan.
031	Manalagar ka na sakey simba.
031	Asumpal lad satan so ponsia, insan iter kod sikay Raquel, no manlingkur ka nid siak na pitoy taon.
032	Inmabubon si Jacob, tan kalabas na sakey simba, inter nen Laban ed sikato si Raquel.
033	Inter nen Laban si aripen ton Bilha ed kinen Raquel, pian walay katulong to.
034	Inakdulan met sirin nen Jacob si Raquel, tan inaro to ni nen si Lea.
034	Insan nanlingkur ni na pitoy taon ed kinen Laban.
035	Nen anengneng na Katawan ya ag inaro nen Jacob si Lea, inabuloyan ton makapananak;
035	si Raquel, balet, ag mananak ta lepes.
036	Nanlokun si Lea tan nananak na sakey a laki.
036	Inkuanto, Anengneng na Katawan so segsegang ko;
036	natan aroen ak la nen asawak;
036	kanyan inngaran to na Ruben imay ogaw.
037	Nanlokun lamet tan nananak na sakey nin laki.
037	Inkuanto, Inter met na Katawan yan anak ko, ta arengel ton ag ak inaroy asawak;
037	kanyan inngaran to na Simeon.
038	Nanlokun a pitlo tan nananak na sakey nin laki.
038	Inkuanto, Natan magmaliw a lalon maasingger so asawak, ta inyanakan koy taloran lalaki;
038	kanyan inngaran to na Levi.
039	Nanlokun a pipat tan nananak na sakey a laki.
039	Inkuanto, Natan idayew koy Katawan ;
039	kanyan inngaran to na Juda.
039	Nanlapud saman, tinmonda lan mananak.
